% 1. Title: Contraceptive Method Choice
%
% 2. Sources:
%    (a) Origin:  This dataset is a subset of the 1987 National Indonesia
%                 Contraceptive Prevalence Survey
%    (b) Creator: Tjen-Sien Lim (limt@stat.wisc.edu)
%    (c) Donor:   Tjen-Sien Lim (limt@stat.wisc.edu)
%    (c) Date:    June 7, 1997
%
% 3. Past Usage:
%    Lim, T.-S., Loh, W.-Y. & Shih, Y.-S. (1999). A Comparison of
%    Prediction Accuracy, Complexity, and Training Time of Thirty-three
%    Old and New Classification Algorithms. Machine Learning. Forthcoming.
%    (ftp://ftp.stat.wisc.edu/pub/loh/treeprogs/quest1.7/mach1317.pdf or
%    (http://www.stat.wisc.edu/~limt/mach1317.pdf)
%
% 4. Relevant Information:
%    This dataset is a subset of the 1987 National Indonesia Contraceptive
%    Prevalence Survey. The samples are married women who were either not
%    pregnant or do not know if they were at the time of interview. The
%    problem is to predict the current contraceptive method choice
%    (no use, long-term methods, or short-term methods) of a woman based
%    on her demographic and socio-economic characteristics.
%
% 5. Number of Instances: 1473
%
% 6. Number of Attributes: 10 (including the class attribute)
%
% 7. Attribute Information:
%
%    1. Wife's age                     (numerical)
%    2. Wife's education               (categorical)      1=low, 2, 3, 4=high
%    3. Husband's education            (categorical)      1=low, 2, 3, 4=high
%    4. Number of children ever born   (numerical)
%    5. Wife's religion                (binary)           0=Non-Islam, 1=Islam
%    6. Wife's now working?            (binary)           0=Yes, 1=No
%    7. Husband's occupation           (categorical)      1, 2, 3, 4
%    8. Standard-of-living index       (categorical)      1=low, 2, 3, 4=high
%    9. Media exposure                 (binary)           0=Good, 1=Not good
%    10. Contraceptive method used     (class attribute)  1=No-use
%                                                         2=Long-term
%                                                         3=Short-term
%
% 8. Missing Attribute Values: None
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%
@RELATION cmc

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE Wifes_age INTEGER
@ATTRIBUTE Wifes_education {1, 2, 3, 4}
@ATTRIBUTE Husbands_education {1, 2, 3, 4}
@ATTRIBUTE Number_of_children_ever_born INTEGER
@ATTRIBUTE Wifes_religion {0, 1}
@ATTRIBUTE "Wifes_now_working%3F" {0, 1}
@ATTRIBUTE Husbands_occupation {1, 2, 3, 4}
@ATTRIBUTE Standard-of-living_index {1, 2, 3, 4}
@ATTRIBUTE Media_exposure {0, 1}
@ATTRIBUTE Contraceptive_method_used {1, 2, 3}

@DATA
0,24,2,3,3,1,1,2,3,0,1
1,45,1,3,10,1,1,3,4,0,1
2,43,2,3,7,1,1,3,4,0,1
4,36,3,3,8,1,1,3,2,0,1
6,38,2,3,6,1,1,3,2,0,1
7,21,3,3,1,1,0,3,2,0,1
8,27,2,3,3,1,1,3,4,0,1
9,45,1,1,8,1,1,2,2,1,1
11,42,1,4,4,1,1,1,3,0,1
13,42,2,4,1,1,0,3,3,0,1
14,38,3,4,2,1,1,2,3,0,1
15,26,2,4,0,1,1,4,1,0,1
16,48,1,1,7,1,1,2,4,0,1
17,39,2,2,6,1,1,2,4,0,1
18,37,2,2,8,1,1,2,3,0,1
19,39,2,1,5,1,1,2,1,1,1
20,26,3,4,1,1,0,4,1,0,1
21,24,3,4,0,1,0,3,1,0,1
22,46,4,4,1,0,1,1,4,0,1
23,39,4,4,1,1,1,1,4,0,1
24,48,4,4,5,1,1,1,4,0,1
25,40,2,4,8,1,1,3,3,0,1
26,38,4,4,1,1,0,1,4,0,1
27,29,4,4,0,1,0,1,4,0,1
28,24,4,4,0,1,0,2,2,0,1
29,43,1,2,8,1,1,2,4,0,1
30,31,3,4,2,1,1,1,4,0,1
32,26,2,4,0,1,0,1,2,0,1
33,33,2,2,2,1,1,3,1,0,1
34,24,2,3,1,1,1,3,3,0,1
35,42,1,3,9,1,1,3,2,1,1
36,43,1,2,8,1,0,3,1,0,1
37,25,3,3,4,1,1,3,2,0,1
38,42,2,2,3,1,1,3,4,0,1
40,28,1,1,3,1,1,3,1,0,1
41,47,2,3,0,1,0,1,3,0,1
42,48,2,4,2,1,1,1,3,0,1
43,40,4,4,2,0,1,1,4,0,1
44,28,2,2,1,1,1,3,2,0,1
45,25,1,4,1,1,1,2,1,0,1
46,32,4,4,2,1,1,2,3,0,1
47,45,4,4,0,1,1,2,4,0,1
49,26,4,4,0,1,0,1,4,0,1
50,31,4,4,0,1,0,1,4,0,1
51,49,4,4,7,0,1,2,4,0,1
52,40,3,4,8,1,1,3,3,0,1
53,34,4,4,1,0,0,2,3,0,1
55,20,2,2,2,1,1,2,2,1,1
56,43,4,4,5,1,0,1,4,0,1
57,37,3,4,7,1,1,2,1,0,1
58,21,2,3,0,1,1,3,4,0,1
59,49,4,4,6,1,1,1,2,0,1
60,42,3,3,10,1,1,3,3,0,1
61,20,2,3,1,1,1,2,3,0,1
62,47,1,2,2,1,0,1,3,0,1
63,22,2,3,1,1,1,2,1,0,1
64,27,2,4,1,1,0,1,3,0,1
65,24,2,4,1,1,1,3,1,0,1
66,44,4,2,8,1,1,3,3,0,1
67,30,2,3,3,1,1,3,1,0,1
68,23,3,4,2,1,1,3,4,0,1
69,25,4,4,1,1,0,3,3,0,1
70,47,2,3,4,1,1,2,3,0,1
71,48,2,3,8,1,1,1,4,0,1
72,29,2,3,1,1,1,1,1,0,1
73,29,2,3,1,1,1,1,2,0,1
74,21,3,4,0,1,1,2,3,0,1
75,21,3,4,1,1,1,2,3,0,1
76,29,4,4,0,1,0,2,4,0,1
77,45,3,4,3,1,1,1,4,0,1
78,33,2,3,2,1,1,3,2,0,1
79,38,4,4,1,1,0,1,4,0,1
80,24,4,4,0,0,1,1,4,0,1
81,49,4,4,6,0,0,1,4,0,1
82,24,2,4,1,1,0,4,4,0,1
84,30,4,4,2,1,1,1,4,0,1
85,33,4,4,2,1,1,1,4,0,1
87,35,4,4,3,0,1,1,4,0,1
89,24,2,2,3,1,0,2,1,0,1
90,25,2,3,0,1,1,2,1,0,1
91,46,2,4,6,1,1,1,4,0,1
92,26,2,2,3,1,1,2,1,0,1
93,38,2,2,1,1,0,3,2,0,1
94,47,1,2,3,1,1,1,3,0,1
95,41,1,3,10,1,1,2,3,1,1
97,28,4,4,5,1,1,2,1,0,1
98,17,2,2,3,1,1,3,1,0,1
99,27,2,3,5,1,1,2,1,0,1
101,19,2,3,0,1,0,2,2,0,1
102,27,2,4,3,1,0,3,2,0,1
103,26,4,3,4,1,1,2,3,0,1
104,23,2,4,2,1,1,3,3,0,1
105,40,3,3,3,1,1,3,2,0,1
106,22,4,4,0,1,1,1,1,0,1
107,44,3,4,4,1,0,1,3,0,1
108,29,2,3,2,1,1,3,1,0,1
110,45,4,4,1,1,0,3,3,0,1
111,32,3,3,7,1,0,2,3,0,1
112,21,4,4,1,1,1,1,4,0,1
114,21,3,4,0,1,1,1,3,0,1
115,37,4,4,1,1,1,1,4,0,1
116,34,4,4,3,0,0,3,3,0,1
117,44,3,4,1,1,1,1,3,0,1
118,49,4,3,5,1,1,2,3,0,1
119,26,2,3,2,1,1,3,3,0,1
120,38,1,2,1,1,1,2,4,1,1
121,36,2,3,5,1,1,2,3,0,1
122,26,3,4,2,1,1,3,3,0,1
123,20,2,3,1,0,1,3,2,0,1
125,31,3,4,2,1,1,1,2,1,1
127,36,2,3,2,1,1,3,2,1,1
128,43,1,3,2,1,0,2,2,1,1
130,48,3,4,3,1,1,3,1,0,1
131,30,4,4,0,0,0,1,3,0,1
132,48,1,2,8,1,1,3,1,0,1
133,28,3,4,1,1,1,3,1,1,1
134,26,4,4,1,1,1,1,3,0,1
137,21,3,3,2,1,1,2,2,0,1
141,30,4,4,0,0,0,3,3,0,1
142,47,4,4,1,1,0,1,3,0,1
143,35,4,4,2,0,1,3,3,0,1
144,30,2,4,2,1,1,3,4,0,1
145,33,4,4,3,1,1,1,4,0,1
146,45,4,4,4,1,1,2,3,0,1
148,32,4,4,1,1,0,1,3,0,1
149,43,4,4,5,1,1,1,4,0,1
150,44,4,4,3,1,1,2,4,0,1
151,21,1,3,4,1,1,3,2,0,1
152,44,3,4,2,1,1,1,4,1,1
153,23,4,4,2,1,1,2,4,0,1
154,47,1,2,4,1,1,2,2,0,1
157,32,2,4,4,1,1,3,2,0,1
159,22,2,2,2,1,1,3,1,0,1
160,23,1,1,3,1,1,2,1,1,1
161,30,4,4,0,1,0,1,4,0,1
162,44,1,3,0,1,1,2,3,0,1
163,40,3,3,1,1,0,3,3,0,1
164,34,4,4,4,1,1,2,3,0,1
165,37,3,4,1,1,1,2,4,0,1
166,49,3,4,5,1,1,1,4,0,1
167,26,4,4,1,1,1,1,4,0,1
168,22,4,4,0,1,1,2,4,0,1
169,20,3,4,0,1,0,2,4,0,1
172,22,2,4,1,1,1,2,4,0,1
173,22,3,3,2,1,1,3,4,0,1
175,32,2,4,0,1,0,3,4,0,1
176,28,4,4,0,0,1,1,3,0,1
177,30,2,4,4,1,0,1,4,0,1
180,34,4,4,2,1,0,1,4,0,1
181,25,2,4,1,1,1,2,2,0,1
182,42,1,3,12,1,1,3,3,0,1
183,48,2,1,3,1,0,4,3,0,1
184,35,3,4,5,1,0,2,2,0,1
185,33,2,3,1,1,1,3,4,0,1
186,20,2,4,0,1,1,3,2,0,1
187,36,2,3,4,1,1,3,1,1,1
189,27,3,2,3,1,1,3,2,0,1
190,30,1,2,4,1,1,4,1,0,1
191,31,3,4,3,1,0,3,2,0,1
192,44,1,1,11,1,1,4,1,1,1
193,24,3,3,2,1,1,3,3,0,1
194,18,3,4,0,1,0,3,1,0,1
195,45,1,2,6,1,1,3,3,1,1
196,25,2,2,3,1,0,3,1,0,1
197,36,3,4,6,1,1,2,4,0,1
198,30,1,1,5,1,1,2,2,0,1
200,42,1,4,11,0,1,2,2,1,1
201,22,2,4,0,1,1,3,3,0,1
202,36,2,4,2,1,0,2,4,0,1
203,27,2,3,2,1,1,3,3,0,1
204,40,3,4,1,1,1,1,2,0,1
205,22,2,3,2,1,1,3,1,0,1
206,26,2,4,0,1,1,3,1,0,1
207,31,3,4,0,1,0,2,3,0,1
208,32,4,4,1,1,1,1,4,0,1
211,45,1,2,1,1,0,3,3,0,1
212,26,3,4,3,1,1,3,2,0,1
213,48,1,3,5,1,1,3,2,0,1
214,43,1,3,8,1,1,3,1,0,1
215,27,3,4,2,1,0,2,2,0,1
216,42,3,2,1,1,1,3,3,0,1
217,34,3,2,8,1,0,2,3,1,1
218,32,3,2,4,1,1,2,2,1,1
219,31,3,3,2,1,0,2,3,0,1
220,22,2,3,1,1,1,3,3,0,1
222,37,1,2,2,1,1,2,2,1,1
223,22,1,2,0,1,1,2,4,0,1
225,32,4,4,4,1,0,1,3,0,1
226,37,3,3,2,1,1,1,4,0,1
227,45,1,3,1,1,1,2,3,1,1
228,47,1,4,8,1,1,3,3,0,1
229,28,3,4,0,1,1,3,2,0,1
230,48,1,3,4,1,1,3,4,1,1
231,26,2,4,1,1,1,1,3,0,1
232,21,3,4,0,1,0,3,1,0,1
