Dataset,Classifier,Outlier detection,Removed,Configuration,Accuracy
abalone,weka.classifiers.bayes.BayesNet,,0.0,e4703dbfb0fd5afe7abb4d354a9d37f0,0.5836753287683006
abalone,weka.classifiers.bayes.BayesNet,COR,1.0,2d67697bc46d4ebaa5a2f9e3e81baff2,0.5831960003438099
abalone,weka.classifiers.bayes.BayesNet,COR,1.0,418ca12b1f789d395cb2712eb66c4ef9,0.5864271457085829
abalone,weka.classifiers.bayes.BayesNet,COR,1.0,58efbcf9a6b6b965e6039b782492190b,0.5831960003438099
abalone,weka.classifiers.bayes.BayesNet,COR,1.0,63903a469164014197dd9f96be5f4cd1,0.5831960003438099
abalone,weka.classifiers.bayes.BayesNet,COR,1.0,a06cfa2db517b1928220fd8c458f778f,0.5831960003438099
abalone,weka.classifiers.bayes.BayesNet,COR,1.0,a61c5c87a7031f77a6ba45900568f7d8,0.5831960003438099
abalone,weka.classifiers.bayes.BayesNet,COR,1.0,bee23b3d9a34e233c6a7af13ed803f1b,0.5831960003438099
abalone,weka.classifiers.bayes.BayesNet,COR,2.0,2d67697bc46d4ebaa5a2f9e3e81baff2,0.5810400252127323
abalone,weka.classifiers.bayes.BayesNet,COR,2.0,418ca12b1f789d395cb2712eb66c4ef9,0.5824351297405189
abalone,weka.classifiers.bayes.BayesNet,COR,2.0,58efbcf9a6b6b965e6039b782492190b,0.5810400252127323
abalone,weka.classifiers.bayes.BayesNet,COR,2.0,63903a469164014197dd9f96be5f4cd1,0.5810400252127323
abalone,weka.classifiers.bayes.BayesNet,COR,2.0,a06cfa2db517b1928220fd8c458f778f,0.5810400252127323
abalone,weka.classifiers.bayes.BayesNet,COR,2.0,a61c5c87a7031f77a6ba45900568f7d8,0.5810400252127323
abalone,weka.classifiers.bayes.BayesNet,COR,2.0,bee23b3d9a34e233c6a7af13ed803f1b,0.5810400252127323
abalone,weka.classifiers.bayes.BayesNet,COR,3.0,2d67697bc46d4ebaa5a2f9e3e81baff2,0.5858278657995015
abalone,weka.classifiers.bayes.BayesNet,COR,3.0,418ca12b1f789d395cb2712eb66c4ef9,0.5868263473053892
abalone,weka.classifiers.bayes.BayesNet,COR,3.0,58efbcf9a6b6b965e6039b782492190b,0.5858278657995015
abalone,weka.classifiers.bayes.BayesNet,COR,3.0,63903a469164014197dd9f96be5f4cd1,0.5858278657995015
abalone,weka.classifiers.bayes.BayesNet,COR,3.0,a06cfa2db517b1928220fd8c458f778f,0.5858278657995015
abalone,weka.classifiers.bayes.BayesNet,COR,3.0,a61c5c87a7031f77a6ba45900568f7d8,0.5858278657995015
abalone,weka.classifiers.bayes.BayesNet,COR,3.0,bee23b3d9a34e233c6a7af13ed803f1b,0.5858278657995015
abalone,weka.classifiers.bayes.BayesNet,COR,4.0,2d67697bc46d4ebaa5a2f9e3e81baff2,0.5851104489585423
abalone,weka.classifiers.bayes.BayesNet,COR,4.0,418ca12b1f789d395cb2712eb66c4ef9,0.5872255489021957
abalone,weka.classifiers.bayes.BayesNet,COR,4.0,58efbcf9a6b6b965e6039b782492190b,0.5851104489585423
abalone,weka.classifiers.bayes.BayesNet,COR,4.0,63903a469164014197dd9f96be5f4cd1,0.5851104489585423
abalone,weka.classifiers.bayes.BayesNet,COR,4.0,a06cfa2db517b1928220fd8c458f778f,0.5851104489585423
abalone,weka.classifiers.bayes.BayesNet,COR,4.0,a61c5c87a7031f77a6ba45900568f7d8,0.5851104489585423
abalone,weka.classifiers.bayes.BayesNet,COR,4.0,bee23b3d9a34e233c6a7af13ed803f1b,0.5851104489585423
abalone,weka.classifiers.bayes.BayesNet,COR,5.0,2d67697bc46d4ebaa5a2f9e3e81baff2,0.585349683408303
abalone,weka.classifiers.bayes.BayesNet,COR,5.0,418ca12b1f789d395cb2712eb66c4ef9,0.5872255489021957
abalone,weka.classifiers.bayes.BayesNet,COR,5.0,58efbcf9a6b6b965e6039b782492190b,0.585349683408303
abalone,weka.classifiers.bayes.BayesNet,COR,5.0,63903a469164014197dd9f96be5f4cd1,0.585349683408303
abalone,weka.classifiers.bayes.BayesNet,COR,5.0,a06cfa2db517b1928220fd8c458f778f,0.585349683408303
abalone,weka.classifiers.bayes.BayesNet,COR,5.0,a61c5c87a7031f77a6ba45900568f7d8,0.585349683408303
abalone,weka.classifiers.bayes.BayesNet,COR,5.0,bee23b3d9a34e233c6a7af13ed803f1b,0.585349683408303
abalone,weka.classifiers.bayes.NaiveBayes,,0.0,aa8e22e74a528ca8c34f022da26e6b6e,0.581994957453514
abalone,weka.classifiers.bayes.NaiveBayes,COR,1.0,078350160f9aed3591787c5575f29047,0.5807987852047102
abalone,weka.classifiers.bayes.NaiveBayes,COR,1.0,0a8c19b1194895b237834b16a915c861,0.5807987852047102
abalone,weka.classifiers.bayes.NaiveBayes,COR,1.0,0e1744063284d13cb76179120af15203,0.5807987852047102
abalone,weka.classifiers.bayes.NaiveBayes,COR,1.0,579ffc01040302422e1d4a2c8038f27a,0.5796407185628744
abalone,weka.classifiers.bayes.NaiveBayes,COR,1.0,6a0d91a19012f8197b37fe277bb876c9,0.5807987852047102
abalone,weka.classifiers.bayes.NaiveBayes,COR,1.0,b46dd98be0f4632db9fca188e7299c93,0.5807987852047102
abalone,weka.classifiers.bayes.NaiveBayes,COR,1.0,bea26b33ab252487054c6df414017a1d,0.5807987852047102
abalone,weka.classifiers.bayes.NaiveBayes,COR,2.0,078350160f9aed3591787c5575f29047,0.5791221384981233
abalone,weka.classifiers.bayes.NaiveBayes,COR,2.0,0a8c19b1194895b237834b16a915c861,0.5791221384981233
abalone,weka.classifiers.bayes.NaiveBayes,COR,2.0,0e1744063284d13cb76179120af15203,0.5791221384981233
abalone,weka.classifiers.bayes.NaiveBayes,COR,2.0,579ffc01040302422e1d4a2c8038f27a,0.5768463073852295
abalone,weka.classifiers.bayes.NaiveBayes,COR,2.0,6a0d91a19012f8197b37fe277bb876c9,0.5791221384981233
abalone,weka.classifiers.bayes.NaiveBayes,COR,2.0,b46dd98be0f4632db9fca188e7299c93,0.5791221384981233
abalone,weka.classifiers.bayes.NaiveBayes,COR,2.0,bea26b33ab252487054c6df414017a1d,0.5791221384981233
abalone,weka.classifiers.bayes.NaiveBayes,COR,3.0,078350160f9aed3591787c5575f29047,0.5776855857662665
abalone,weka.classifiers.bayes.NaiveBayes,COR,3.0,0a8c19b1194895b237834b16a915c861,0.5776855857662665
abalone,weka.classifiers.bayes.NaiveBayes,COR,3.0,0e1744063284d13cb76179120af15203,0.5776855857662665
abalone,weka.classifiers.bayes.NaiveBayes,COR,3.0,579ffc01040302422e1d4a2c8038f27a,0.5752495009980039
abalone,weka.classifiers.bayes.NaiveBayes,COR,3.0,6a0d91a19012f8197b37fe277bb876c9,0.5776855857662665
abalone,weka.classifiers.bayes.NaiveBayes,COR,3.0,b46dd98be0f4632db9fca188e7299c93,0.5776855857662665
abalone,weka.classifiers.bayes.NaiveBayes,COR,3.0,bea26b33ab252487054c6df414017a1d,0.5776855857662665
abalone,weka.classifiers.bayes.NaiveBayes,COR,4.0,078350160f9aed3591787c5575f29047,0.5774460648081827
abalone,weka.classifiers.bayes.NaiveBayes,COR,4.0,0a8c19b1194895b237834b16a915c861,0.5774460648081827
abalone,weka.classifiers.bayes.NaiveBayes,COR,4.0,0e1744063284d13cb76179120af15203,0.5774460648081827
abalone,weka.classifiers.bayes.NaiveBayes,COR,4.0,579ffc01040302422e1d4a2c8038f27a,0.5748502994011976
abalone,weka.classifiers.bayes.NaiveBayes,COR,4.0,6a0d91a19012f8197b37fe277bb876c9,0.5774460648081827
abalone,weka.classifiers.bayes.NaiveBayes,COR,4.0,b46dd98be0f4632db9fca188e7299c93,0.5774460648081827
abalone,weka.classifiers.bayes.NaiveBayes,COR,4.0,bea26b33ab252487054c6df414017a1d,0.5774460648081827
abalone,weka.classifiers.bayes.NaiveBayes,COR,5.0,078350160f9aed3591787c5575f29047,0.5774460648081827
abalone,weka.classifiers.bayes.NaiveBayes,COR,5.0,0a8c19b1194895b237834b16a915c861,0.5774460648081827
abalone,weka.classifiers.bayes.NaiveBayes,COR,5.0,0e1744063284d13cb76179120af15203,0.5774460648081827
abalone,weka.classifiers.bayes.NaiveBayes,COR,5.0,579ffc01040302422e1d4a2c8038f27a,0.5748502994011976
abalone,weka.classifiers.bayes.NaiveBayes,COR,5.0,6a0d91a19012f8197b37fe277bb876c9,0.5774460648081827
abalone,weka.classifiers.bayes.NaiveBayes,COR,5.0,b46dd98be0f4632db9fca188e7299c93,0.5774460648081827
abalone,weka.classifiers.bayes.NaiveBayes,COR,5.0,bea26b33ab252487054c6df414017a1d,0.5774460648081827
abalone,weka.classifiers.functions.Logistic,,0.0,e0fdaf1bc77c72e8ea9ec4ca459d1661,0.6531028851388132
abalone,weka.classifiers.functions.Logistic,COR,1.0,3f6e098378dd0041282dd26b2153371c,0.6554890219560878
abalone,weka.classifiers.functions.Logistic,COR,1.0,7cd3465fdc731bb16d1905fad0869a92,0.6528627911640834
abalone,weka.classifiers.functions.Logistic,COR,1.0,8141fe6e666bb762ace8dc3ac8ad3864,0.6528627911640834
abalone,weka.classifiers.functions.Logistic,COR,1.0,82c2658b10f727b95c46960b2e88e7ea,0.6528627911640834
abalone,weka.classifiers.functions.Logistic,COR,1.0,cae1daea2d351c018543e1ab1c6fb0fa,0.6528627911640834
abalone,weka.classifiers.functions.Logistic,COR,1.0,d1f5310741a9a623514696f31bc2a56c,0.6528627911640834
abalone,weka.classifiers.functions.Logistic,COR,1.0,ffdeeb8555f84e1c56532201f64363f0,0.6528627911640834
abalone,weka.classifiers.functions.Logistic,COR,2.0,3f6e098378dd0041282dd26b2153371c,0.6538922155688622
abalone,weka.classifiers.functions.Logistic,COR,2.0,7cd3465fdc731bb16d1905fad0869a92,0.6516654728819873
abalone,weka.classifiers.functions.Logistic,COR,2.0,8141fe6e666bb762ace8dc3ac8ad3864,0.6516654728819873
abalone,weka.classifiers.functions.Logistic,COR,2.0,82c2658b10f727b95c46960b2e88e7ea,0.6516654728819873
abalone,weka.classifiers.functions.Logistic,COR,2.0,cae1daea2d351c018543e1ab1c6fb0fa,0.6516654728819873
abalone,weka.classifiers.functions.Logistic,COR,2.0,d1f5310741a9a623514696f31bc2a56c,0.6516654728819873
abalone,weka.classifiers.functions.Logistic,COR,2.0,ffdeeb8555f84e1c56532201f64363f0,0.6516654728819873
abalone,weka.classifiers.functions.Logistic,COR,3.0,3f6e098378dd0041282dd26b2153371c,0.6538922155688623
abalone,weka.classifiers.functions.Logistic,COR,3.0,7cd3465fdc731bb16d1905fad0869a92,0.6502300661834226
abalone,weka.classifiers.functions.Logistic,COR,3.0,8141fe6e666bb762ace8dc3ac8ad3864,0.6502300661834226
abalone,weka.classifiers.functions.Logistic,COR,3.0,82c2658b10f727b95c46960b2e88e7ea,0.6502300661834226
abalone,weka.classifiers.functions.Logistic,COR,3.0,cae1daea2d351c018543e1ab1c6fb0fa,0.6502300661834226
abalone,weka.classifiers.functions.Logistic,COR,3.0,d1f5310741a9a623514696f31bc2a56c,0.6502300661834226
abalone,weka.classifiers.functions.Logistic,COR,3.0,ffdeeb8555f84e1c56532201f64363f0,0.6502300661834226
abalone,weka.classifiers.functions.Logistic,COR,4.0,3f6e098378dd0041282dd26b2153371c,0.651497005988024
abalone,weka.classifiers.functions.Logistic,COR,4.0,7cd3465fdc731bb16d1905fad0869a92,0.6490321748846803
abalone,weka.classifiers.functions.Logistic,COR,4.0,8141fe6e666bb762ace8dc3ac8ad3864,0.6490321748846803
abalone,weka.classifiers.functions.Logistic,COR,4.0,82c2658b10f727b95c46960b2e88e7ea,0.6490321748846803
abalone,weka.classifiers.functions.Logistic,COR,4.0,cae1daea2d351c018543e1ab1c6fb0fa,0.6490321748846803
abalone,weka.classifiers.functions.Logistic,COR,4.0,d1f5310741a9a623514696f31bc2a56c,0.6490321748846803
abalone,weka.classifiers.functions.Logistic,COR,4.0,ffdeeb8555f84e1c56532201f64363f0,0.6490321748846803
abalone,weka.classifiers.functions.Logistic,COR,5.0,3f6e098378dd0041282dd26b2153371c,0.651497005988024
abalone,weka.classifiers.functions.Logistic,COR,5.0,7cd3465fdc731bb16d1905fad0869a92,0.6497498782339626
abalone,weka.classifiers.functions.Logistic,COR,5.0,8141fe6e666bb762ace8dc3ac8ad3864,0.6497498782339626
abalone,weka.classifiers.functions.Logistic,COR,5.0,82c2658b10f727b95c46960b2e88e7ea,0.6497498782339626
abalone,weka.classifiers.functions.Logistic,COR,5.0,cae1daea2d351c018543e1ab1c6fb0fa,0.6497498782339626
abalone,weka.classifiers.functions.Logistic,COR,5.0,d1f5310741a9a623514696f31bc2a56c,0.6497498782339626
abalone,weka.classifiers.functions.Logistic,COR,5.0,ffdeeb8555f84e1c56532201f64363f0,0.6497498782339626
abalone,weka.classifiers.functions.MultilayerPerceptron,,0.0,43e78b547e0870a669a667300b1184a6,0.6547798183537232
abalone,weka.classifiers.functions.MultilayerPerceptron,COR,1.0,10917d9bde417b33dd23285e183bd1ea,0.6511864309658196
abalone,weka.classifiers.functions.MultilayerPerceptron,COR,1.0,1449b6da0cb130c5f4814680be9dbef5,0.6511864309658196
abalone,weka.classifiers.functions.MultilayerPerceptron,COR,1.0,32d42fe808c006ec7cc69e78c3922148,0.6511864309658196
abalone,weka.classifiers.functions.MultilayerPerceptron,COR,1.0,83b34018ff7fa95509525b7df93f171d,0.6511864309658196
abalone,weka.classifiers.functions.MultilayerPerceptron,COR,1.0,902edc9b3c70c7b99f81e9fed1975174,0.6511864309658196
abalone,weka.classifiers.functions.MultilayerPerceptron,COR,1.0,d142b0a3a82b9f65d7ea56b1e87b892a,0.6530938123752495
abalone,weka.classifiers.functions.MultilayerPerceptron,COR,1.0,e05e4147e7f0bc1f4e3d9f86328d1ff0,0.6511864309658196
abalone,weka.classifiers.functions.MultilayerPerceptron,COR,2.0,10917d9bde417b33dd23285e183bd1ea,0.6547746612039079
abalone,weka.classifiers.functions.MultilayerPerceptron,COR,2.0,1449b6da0cb130c5f4814680be9dbef5,0.6547746612039079
abalone,weka.classifiers.functions.MultilayerPerceptron,COR,2.0,32d42fe808c006ec7cc69e78c3922148,0.6547746612039079
