@RELATION badges2

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE length NUMERIC
@ATTRIBUTE even_odd {0, 1}
@ATTRIBUTE first_char_vowel {0, 1}
@ATTRIBUTE second_char_vowel {0, 1}
@ATTRIBUTE vowels NUMERIC
@ATTRIBUTE consonants NUMERIC
@ATTRIBUTE vowel_consonant_ratio NUMERIC
@ATTRIBUTE spaces NUMERIC
@ATTRIBUTE dots NUMERIC
@ATTRIBUTE words NUMERIC
@ATTRIBUTE OD_VALUE REAL
@ATTRIBUTE class {-, +}

@DATA
1.0,15.0,0,1,1,7.0,7.0,1.0,1.0,0.0,2.0,0.27254901960784317,+
2.0,20.0,1,1,0,6.0,11.0,0.55,2.0,1.0,3.0,0.5391214824982842,-
3.0,12.0,1,1,0,4.0,7.0,0.57,1.0,0.0,2.0,0.5187695516162669,-
4.0,11.0,0,1,0,6.0,4.0,1.5,1.0,0.0,2.0,0.8642857142857143,-
5.0,15.0,0,1,0,5.0,7.0,0.71,2.0,1.0,3.0,0.5425790754257908,-
6.0,12.0,1,1,0,2.0,7.0,0.29,2.0,1.0,3.0,0.672514619883041,-
8.0,13.0,0,1,0,4.0,8.0,0.5,1.0,0.0,2.0,0.7092457420924574,-
9.0,18.0,1,1,0,8.0,9.0,0.89,1.0,0.0,2.0,0.5617021276595744,-
10.0,16.0,1,1,0,8.0,7.0,1.14,1.0,0.0,2.0,0.65,-
12.0,11.0,0,1,0,4.0,6.0,0.67,1.0,0.0,2.0,0.746606334841629,-
13.0,16.0,1,1,0,8.0,7.0,1.14,1.0,0.0,2.0,0.65,-
14.0,12.0,1,1,1,6.0,5.0,1.2,1.0,0.0,2.0,0.21428571428571427,+
15.0,10.0,1,1,0,3.0,6.0,0.5,1.0,0.0,2.0,0.746606334841629,-
18.0,19.0,0,0,1,5.0,13.0,0.38,1.0,0.0,2.0,0.8180970149253731,+
21.0,9.0,0,0,1,3.0,5.0,0.6,1.0,0.0,2.0,0.3958736299161831,+
22.0,9.0,0,0,1,3.0,5.0,0.6,1.0,0.0,2.0,0.3958736299161831,+
23.0,20.0,1,0,0,5.0,12.0,0.42,2.0,1.0,3.0,0.5391214824982842,-
24.0,17.0,0,0,0,5.0,9.0,0.56,2.0,1.0,3.0,0.5666666666666667,-
25.0,12.0,1,0,0,4.0,7.0,0.57,1.0,0.0,2.0,0.5187695516162669,-
26.0,18.0,1,0,0,6.0,9.0,0.67,2.0,1.0,3.0,0.5354166666666667,-
27.0,13.0,0,0,1,2.0,8.0,0.25,2.0,1.0,3.0,0.45238095238095233,+
28.0,16.0,1,0,1,5.0,8.0,0.62,2.0,1.0,3.0,0.3107344632768362,+
29.0,15.0,0,0,0,3.0,9.0,0.33,2.0,1.0,3.0,0.4401785714285714,-
30.0,12.0,1,0,0,2.0,7.0,0.29,2.0,1.0,3.0,0.672514619883041,-
31.0,14.0,1,0,0,5.0,8.0,0.62,1.0,0.0,2.0,0.65,-
