% %  1. Title of Database: Abalone data
% %
% %  2. Sources:
% %
% %     (a) Original owners of database:
% %  	Marine Resources Division
% %  	Marine Research Laboratories - Taroona
% %  	Department of Primary Industry and Fisheries, Tasmania
% %  	GPO Box 619F, Hobart, Tasmania 7001, Australia
% %  	(contact: Warwick Nash +61 02 277277, wnash@dpi.tas.gov.au)
% %
% %     (b) Donor of database:
% %  	Sam Waugh (Sam.Waugh@cs.utas.edu.au)
% %  	Department of Computer Science, University of Tasmania
% %  	GPO Box 252C, Hobart, Tasmania 7001, Australia
% %
% %     (c) Date received: December 1995
% %
% %
% %  3. Past Usage:
% %
% %     Sam Waugh (1995) "Extending and benchmarking Cascade-Correlation", PhD
% %     thesis, Computer Science Department, University of Tasmania.
% %
% %     -- Test set performance (final 1044 examples, first 3133 used for training):
% %  	24.86% Cascade-Correlation (no hidden nodes)
% %  	26.25% Cascade-Correlation (5 hidden nodes)
% %  	21.5%  C4.5
% %  	 0.0%  Linear Discriminate Analysis
% %  	 3.57% k=5 Nearest Neighbour
% %        (Problem encoded as a classification task)
% %
% %     -- Data set samples are highly overlapped.  Further information is required
% %  	to separate completely using affine combinations.  Other restrictions
% %  	to data set examined.
% %
% %     David Clark, Zoltan Schreter, Anthony Adams "A Quantitative Comparison of
% %     Dystal and Backpropagation", submitted to the Australian Conference on
% %     Neural Networks (ACNN'96). Data set treated as a 3-category classification
% %     problem (grouping ring classes 1-8, 9 and 10, and 11 on).
% %
% %     -- Test set performance (3133 training, 1044 testing as above):
% %  	64%    Backprop
% %  	55%    Dystal
% %     -- Previous work (Waugh, 1995) on same data set:
% %  	61.40% Cascade-Correlation (no hidden nodes)
% %  	65.61% Cascade-Correlation (5 hidden nodes)
% %  	59.2%  C4.5
% %  	32.57% Linear Discriminate Analysis
% %  	62.46% k=5 Nearest Neighbour
% %
% %
% %  4. Relevant Information Paragraph:
% %
% %     Predicting the age of abalone from physical measurements.  The age of
% %     abalone is determined by cutting the shell through the cone, staining it,
% %     and counting the number of rings through a microscope -- a boring and
% %     time-consuming task.  Other measurements, which are easier to obtain, are
% %     used to predict the age.  Further information, such as weather patterns
% %     and location (hence food availability) may be required to solve the problem.
% %
% %     From the original data examples with missing values were removed (the
% %     majority having the predicted value missing), and the ranges of the
% %     continuous values have been scaled for use with an ANN (by dividing by 200).
% %
% %     Data comes from an original (non-machine-learning) study:
% %
% %  	Warwick J Nash, Tracy L Sellers, Simon R Talbot, Andrew J Cawthorn and
% %  	Wes B Ford (1994) "The Population Biology of Abalone (_Haliotis_
% %  	species) in Tasmania. I. Blacklip Abalone (_H. rubra_) from the North
% %  	Coast and Islands of Bass Strait", Sea Fisheries Division, Technical
% %  	Report No. 48 (ISSN 1034-3288)
% %
% %
% %  5. Number of Instances: 4177
% %
% %
% %  6. Number of Attributes: 8
% %
% %
% %  7. Attribute information:
% %
% %     Given is the attribute name, attribute type, the measurement unit and a
% %     brief description.  The number of rings is the value to predict: either
% %     as a continuous value or as a classification problem.
% %
% %  	Name		Data Type	Meas.	Description
% %  	----		---------	-----	-----------
% %  	Sex		nominal			M, F, and I (infant)
% %  	Length		continuous	mm	Longest shell measurement
% %  	Diameter	continuous	mm	perpendicular to length
% %  	Height		continuous	mm	with meat in shell
% %  	Whole weight	continuous	grams	whole abalone
% %  	Shucked weight	continuous	grams	weight of meat
% %  	Viscera weight	continuous	grams	gut weight (after bleeding)
% %  	Shell weight	continuous	grams	after being dried
% %  	Rings		integer			+1.5 gives the age in years
% %
% %     Statistics for numeric domains:
% %
% %  		Length	Diam	Height	Whole	Shucked	Viscera	Shell	Rings
% %  	Min	0.075	0.055	0.000	0.002	0.001	0.001	0.002	    1
% %  	Max	0.815	0.650	1.130	2.826	1.488	0.760	1.005	   29
% %  	Mean	0.524	0.408	0.140	0.829	0.359	0.181	0.239	9.934
% %  	SD	0.120	0.099	0.042	0.490	0.222	0.110	0.139	3.224
% %  	Correl	0.557	0.575	0.557	0.540	0.421	0.504	0.628	  1.0
% %
% %
% %  8. Missing Attribute Values: None
% %
% %
% %  9. Class Distribution:
% %
% %  	Class	Examples
% %  	-----	--------
% %  	1	1
% %  	2	1
% %  	3	15
% %  	4	57
% %  	5	115
% %  	6	259
% %  	7	391
% %  	8	568
% %  	9	689
% %  	10	634
% %  	11	487
% %  	12	267
% %  	13	203
% %  	14	126
% %  	15	103
% %  	16	67
% %  	17	58
% %  	18	42
% %  	19	32
% %  	20	26
% %  	21	14
% %  	22	6
% %  	23	9
% %  	24	2
% %  	25	1
% %  	26	1
% %  	27	2
% %  	29	1
% %  	-----	----
% %  	Total	4177s
@RELATION abalone

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE V1 {F, I, M}
@ATTRIBUTE V2 NUMERIC
@ATTRIBUTE V3 NUMERIC
@ATTRIBUTE V4 NUMERIC
@ATTRIBUTE V5 NUMERIC
@ATTRIBUTE V6 NUMERIC
@ATTRIBUTE V7 NUMERIC
@ATTRIBUTE V8 NUMERIC
@ATTRIBUTE OD_VALUE REAL
@ATTRIBUTE Class {1, 2, 3}

@DATA
0.0,M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,0.8321428571428571,3
1.0,M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,0.5666991772070604,1
3.0,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,0.40377996800156324,2
4.0,I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,0.4012176034617686,1
5.0,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,0.498653500897666,1
6.0,F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,0.6608318372232196,3
7.0,F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,0.49416517055655296,3
8.0,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,0.40377996800156324,2
9.0,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,0.49416517055655296,3
10.0,F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,0.5941363324175825,3
11.0,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,0.5104166666666666,2
12.0,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,0.5396793042532952,3
14.0,F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,0.6704522813309424,2
15.0,M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,0.5447530864197531,3
16.0,I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,0.6653201675643328,1
17.0,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,0.6406903765690377,2
19.0,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,0.6083333333333334,2
22.0,F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,0.5949248120300752,3
23.0,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,0.4907878859228301,2
24.0,F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,0.45020853943013467,2
25.0,F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,0.36408386974354484,3
26.0,F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,0.5342105263157895,3
27.0,M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,0.5495885207849758,3
28.0,M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,0.6473484848484848,3
29.0,M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,0.6280701754385964,3
30.0,M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,0.9041394335511983,2
31.0,F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,0.49416517055655296,3
32.0,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,0.4715663005000558,3
33.0,F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,0.39612595487027846,3
34.0,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,0.49416517055655296,3
35.0,M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,0.5666991772070604,1
36.0,F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,0.5274985038898863,3
38.0,F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,0.6309523809523809,3
40.0,F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,0.6192618051404661,2
42.0,I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,0.4951447289678415,1
43.0,I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,0.4951447289678415,1
44.0,I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,0.4951447289678415,1
45.0,I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,0.5777495460954062,1
46.0,M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,0.6024194237838763,2
47.0,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,0.5970765808706705,1
48.0,I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,0.5819868342309994,1
50.0,I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,0.5333333333333334,1
51.0,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,0.611111111111111,1
52.0,M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,0.6405146618791142,2
54.0,M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,0.5806499044258198,1
55.0,F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,0.7601010101010102,1
56.0,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,0.7139832377591531,1
58.0,I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,0.5688289394941572,1
59.0,F,0.505,0.4,0.125,0.583,0.246,0.13,0.175,0.6212121212121212,1
60.0,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,0.663983237759153,1
61.0,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,0.43934081346423565,2
62.0,F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,0.5071813285457809,2
63.0,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,0.5806499044258198,1
64.0,M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,0.5666991772070604,1
65.0,M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,0.5666991772070604,1
