% 1. Title: Credit Approval
%
% 2. Sources:
%     (confidential)
%     Submitted by quinlan@cs.su.oz.au
%
% 3.  Past Usage:
%
%     See Quinlan,
%     * "Simplifying decision trees", Int J Man-Machine Studies 27,
%       Dec 1987, pp. 221-234.
%     * "C4.5: Programs for Machine Learning", Morgan Kaufmann, Oct 1992
%
% 4.  Relevant Information:
%
%     This file concerns credit card applications.  All attribute names
%     and values have been changed to meaningless symbols to protect
%     confidentiality of the data.
%
%     This dataset is interesting because there is a good mix of
%     attributes -- continuous, nominal with small numbers of
%     values, and nominal with larger numbers of values.  There
%     are also a few missing values.
%
% 5.  Number of Instances: 690
%
% 6.  Number of Attributes: 15 + class attribute
%
% 7.  Attribute Information:
%
%     A1:	b, a.
%     A2:	continuous.
%     A3:	continuous.
%     A4:	u, y, l, t.
%     A5:	g, p, gg.
%     A6:	c, d, cc, i, j, k, m, r, q, w, x, e, aa, ff.
%     A7:	v, h, bb, j, n, z, dd, ff, o.
%     A8:	continuous.
%     A9:	t, f.
%     A10:	t, f.
%     A11:	continuous.
%     A12:	t, f.
%     A13:	g, p, s.
%     A14:	continuous.
%     A15:	continuous.
%     A16: +,-         (class attribute)
%
% 8.  Missing Attribute Values:
%     37 cases (5%) have one or more missing values.  The missing
%     values from particular attributes are:
%
%     A1:  12
%     A2:  12
%     A4:   6
%     A5:   6
%     A6:   9
%     A7:   9
%     A14: 13
%
% 9.  Class Distribution
%
%     +: 307 (44.5%)
%     -: 383 (55.5%)
@RELATION credit-a

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE A1 {b, a}
@ATTRIBUTE A2 REAL
@ATTRIBUTE A3 REAL
@ATTRIBUTE A4 {u, y, l, t}
@ATTRIBUTE A5 {g, p, gg}
@ATTRIBUTE A6 {c, d, cc, i, j, k, m, r, q, w, x, e, aa, ff}
@ATTRIBUTE A7 {v, h, bb, j, n, z, dd, ff, o}
@ATTRIBUTE A8 REAL
@ATTRIBUTE A9 {t, f}
@ATTRIBUTE A10 {t, f}
@ATTRIBUTE A11 REAL
@ATTRIBUTE A12 {t, f}
@ATTRIBUTE A13 {g, p, s}
@ATTRIBUTE A14 REAL
@ATTRIBUTE A15 REAL
@ATTRIBUTE OD_VALUE REAL
@ATTRIBUTE class {+, -}

@DATA
0.0,b,30.83,0.0,u,g,w,v,1.25,t,t,1.0,f,g,202.0,0.0,0.5898337595907928,+
1.0,a,58.67,4.46,u,g,q,h,3.04,t,t,6.0,f,g,43.0,560.0,0.45420243699806145,+
2.0,a,24.5,0.5,u,g,q,h,1.5,t,f,0.0,f,g,280.0,824.0,0.5741146145969422,+
3.0,b,27.83,1.54,u,g,w,v,3.75,t,t,5.0,t,g,100.0,3.0,0.46630434782608693,+
4.0,b,20.17,5.625,u,g,w,v,1.71,t,f,0.0,f,s,120.0,0.0,0.7380032684593671,+
5.0,b,32.08,4.0,u,g,m,v,2.5,t,f,0.0,t,g,360.0,0.0,0.4505148741418764,+
6.0,b,33.17,1.04,u,g,r,h,6.5,t,f,0.0,t,g,164.0,31285.0,0.5741146145969422,+
7.0,a,22.92,11.585,u,g,cc,v,0.04,t,f,0.0,f,g,80.0,1349.0,0.5741146145969422,+
9.0,b,42.5,4.915,y,p,w,v,3.165,t,f,0.0,t,g,52.0,1442.0,0.717282261741906,+
10.0,b,22.08,0.83,u,g,c,h,2.165,f,f,0.0,t,g,128.0,0.0,0.7628205128205128,+
11.0,b,29.92,1.835,u,g,c,h,4.335,t,f,0.0,f,g,260.0,200.0,0.5741146145969422,+
12.0,a,38.25,6.0,u,g,k,v,1.0,t,f,0.0,t,g,0.0,0.0,0.5163043478260869,+
13.0,b,48.08,6.04,u,g,k,v,0.04,f,f,0.0,f,g,0.0,2690.0,0.7645687645687647,+
14.0,a,45.83,10.5,u,g,q,v,5.0,t,t,7.0,t,g,0.0,0.0,0.5163043478260869,+
15.0,b,36.67,4.415,y,p,k,v,0.25,t,t,10.0,t,g,320.0,0.0,0.717282261741906,+
16.0,b,28.25,0.875,u,g,m,v,0.96,t,t,3.0,t,g,396.0,0.0,0.5355351170568561,+
17.0,a,23.25,5.875,u,g,q,v,3.17,t,t,10.0,f,g,120.0,245.0,0.45420243699806145,+
18.0,b,21.83,0.25,u,g,d,h,0.665,t,f,0.0,t,g,0.0,0.0,0.5741146145969422,+
19.0,a,19.17,8.585,u,g,cc,h,0.75,t,t,7.0,f,g,96.0,0.0,0.45420243699806145,+
20.0,b,25.0,11.25,u,g,c,v,2.5,t,t,17.0,f,g,200.0,1208.0,0.4437237026647966,+
21.0,b,23.25,1.0,u,g,c,v,0.835,t,f,0.0,f,s,300.0,0.0,0.7380032684593671,+
22.0,a,47.75,8.0,u,g,c,v,7.875,t,t,6.0,t,g,0.0,1260.0,0.5163043478260869,+
23.0,a,27.42,14.5,u,g,x,h,3.085,t,t,1.0,f,g,120.0,11.0,0.45420243699806145,+
24.0,a,41.17,6.5,u,g,q,v,0.5,t,t,3.0,t,g,145.0,0.0,0.566304347826087,+
25.0,a,15.83,0.585,u,g,c,h,1.5,t,t,2.0,f,g,100.0,0.0,0.45420243699806145,+
26.0,a,47.0,13.0,u,g,i,bb,5.165,t,t,9.0,t,g,0.0,0.0,0.5741146145969422,+
27.0,b,56.58,18.5,u,g,d,bb,15.0,t,t,17.0,t,g,0.0,0.0,0.38168896321070234,+
28.0,b,57.42,8.5,u,g,e,h,7.0,t,t,3.0,f,g,0.0,0.0,0.40732998885172794,+
29.0,b,42.08,1.04,u,g,w,v,5.0,t,t,6.0,t,g,500.0,10000.0,0.5163043478260869,+
30.0,b,29.25,14.79,u,g,aa,v,5.04,t,t,5.0,t,g,168.0,0.0,0.5163043478260869,+
31.0,b,42.0,9.79,u,g,x,h,7.96,t,t,8.0,f,g,0.0,0.0,0.3663043478260869,+
32.0,b,49.5,7.585,u,g,i,bb,7.585,t,t,15.0,t,g,0.0,5000.0,0.5741146145969422,+
33.0,a,36.75,5.125,u,g,e,v,5.0,t,f,0.0,t,g,0.0,4000.0,0.5163043478260869,+
34.0,a,22.58,10.75,u,g,q,v,0.415,t,t,5.0,t,g,0.0,560.0,0.45420243699806145,+
35.0,b,27.83,1.5,u,g,w,v,2.0,t,t,11.0,t,g,434.0,35.0,0.46630434782608693,+
37.0,a,23.0,11.75,u,g,x,h,0.5,t,t,2.0,t,g,300.0,551.0,0.566304347826087,+
39.0,b,54.58,9.415,u,g,ff,ff,14.415,t,t,11.0,t,g,30.0,300.0,0.40732998885172794,+
40.0,b,34.17,9.17,u,g,c,v,4.5,t,t,12.0,t,g,0.0,221.0,0.43297101449275355,+
41.0,b,28.92,15.0,u,g,c,h,5.335,t,t,11.0,f,g,0.0,2283.0,0.43297101449275355,+
42.0,b,29.67,1.415,u,g,w,h,0.75,t,t,1.0,f,g,240.0,100.0,0.28630434782608694,+
43.0,b,39.58,13.915,u,g,w,v,8.625,t,t,6.0,t,g,70.0,0.0,0.46630434782608693,+
44.0,b,56.42,28.0,y,p,c,v,28.5,t,t,40.0,f,g,0.0,15.0,0.717282261741906,+
45.0,b,54.33,6.75,u,g,c,h,2.625,t,t,11.0,t,g,0.0,284.0,0.2663043478260869,+
46.0,a,41.0,2.04,y,p,q,h,0.125,t,t,23.0,t,g,455.0,1236.0,0.717282261741906,+
47.0,b,31.92,4.46,u,g,cc,h,6.04,t,t,3.0,f,g,311.0,300.0,0.43297101449275355,+
48.0,b,41.5,1.54,u,g,i,bb,3.5,f,f,0.0,f,g,216.0,0.0,0.8952380952380952,+
49.0,b,23.92,0.665,u,g,c,v,0.165,f,f,0.0,f,g,100.0,0.0,0.7585097550850975,+
50.0,a,25.75,0.5,u,g,c,h,0.875,t,f,0.0,t,g,491.0,0.0,0.5741146145969422,+
51.0,b,26.0,1.0,u,g,q,v,1.75,t,f,0.0,t,g,280.0,0.0,0.4505148741418764,+
52.0,b,37.42,2.04,u,g,w,v,0.04,t,f,0.0,t,g,400.0,5800.0,0.4505148741418764,+
54.0,b,34.25,3.0,u,g,cc,h,7.415,t,f,0.0,t,g,0.0,0.0,0.5741146145969422,+
55.0,b,23.33,11.625,y,p,w,v,0.835,t,f,0.0,t,g,160.0,300.0,0.717282261741906,+
56.0,b,23.17,0.0,u,g,cc,v,0.085,t,f,0.0,f,g,0.0,0.0,0.5741146145969422,+
57.0,b,44.33,0.5,u,g,i,h,5.0,t,f,0.0,t,g,320.0,0.0,0.5741146145969422,+
58.0,b,35.17,4.5,u,g,x,h,5.75,f,f,0.0,t,s,711.0,0.0,0.7461538461538462,+
60.0,b,56.75,12.25,u,g,m,v,1.25,t,t,4.0,t,g,200.0,0.0,0.5355351170568561,+
61.0,b,31.67,16.165,u,g,d,v,3.0,t,t,9.0,f,g,250.0,730.0,0.43297101449275355,+
62.0,a,23.42,0.79,y,p,q,v,1.5,t,t,2.0,t,g,80.0,400.0,0.717282261741906,+
63.0,a,20.42,0.835,u,g,q,v,1.585,t,t,1.0,f,g,0.0,0.0,0.45420243699806145,+
64.0,b,26.67,4.25,u,g,cc,v,4.29,t,t,1.0,t,g,120.0,0.0,0.41445249597423506,+
65.0,b,34.17,1.54,u,g,cc,v,1.54,t,t,1.0,t,g,520.0,50000.0,0.5163043478260869,+
66.0,a,36.0,1.0,u,g,c,v,2.0,t,t,11.0,f,g,0.0,456.0,0.45420243699806145,+
67.0,b,25.5,0.375,u,g,m,v,0.25,t,t,3.0,f,g,260.0,15108.0,0.5758281573498965,+
68.0,b,19.42,6.5,u,g,w,h,1.46,t,t,7.0,f,g,80.0,2954.0,0.28630434782608694,+
69.0,b,35.17,25.125,u,g,x,h,1.625,t,t,1.0,t,g,515.0,500.0,0.43297101449275355,+
70.0,b,32.33,7.5,u,g,e,bb,1.585,t,f,0.0,t,s,420.0,0.0,0.5029013539651837,-
71.0,b,34.83,4.0,u,g,d,bb,12.5,t,f,0.0,t,g,420.0,0.0,0.5029013539651837,-
72.0,a,38.58,5.0,u,g,cc,v,13.5,t,f,0.0,t,g,980.0,0.0,0.8337855812716148,-
73.0,b,44.25,0.5,u,g,m,v,10.75,t,f,0.0,f,s,400.0,0.0,0.5672514619883041,-
75.0,b,20.67,5.29,u,g,q,v,0.375,t,t,1.0,f,g,160.0,0.0,0.8649350649350649,-
76.0,b,34.08,6.5,u,g,aa,v,0.125,t,f,0.0,t,g,443.0,0.0,0.8342624854819977,-
77.0,a,19.17,0.585,y,p,aa,v,0.585,t,f,0.0,t,g,160.0,0.0,0.5441176470588236,-
78.0,b,21.67,1.165,y,p,k,v,2.5,t,t,1.0,f,g,180.0,20.0,0.7166666666666667,-
79.0,b,21.5,9.75,u,g,c,v,0.25,t,f,0.0,f,g,140.0,0.0,0.624113475177305,-
80.0,b,49.58,19.0,u,g,ff,ff,0.0,t,t,1.0,f,g,94.0,0.0,0.8497835497835498,-
81.0,a,27.67,1.5,u,g,m,v,2.0,t,f,0.0,f,s,368.0,0.0,0.5672514619883041,-
82.0,b,39.83,0.5,u,g,m,v,0.25,t,f,0.0,f,s,288.0,0.0,0.5672514619883041,-
83.0,a,39.83,3.5,u,g,d,v,3.0,t,f,0.0,t,g,300.0,0.0,0.8337855812716148,-
84.0,b,27.25,0.625,u,g,aa,v,0.455,t,f,0.0,t,g,200.0,0.0,0.8342624854819977,-
85.0,b,37.17,4.0,u,g,c,bb,5.0,t,f,0.0,t,s,280.0,0.0,0.5029013539651837,-
86.0,b,37.17,0.375,u,g,d,v,0.875,t,f,0.0,t,s,928.0,0.0,0.4649525821826937,-
87.0,b,25.67,2.21,y,p,aa,v,4.0,t,f,0.0,f,g,188.0,0.0,0.5441176470588236,-
88.0,b,34.0,4.5,u,g,aa,v,1.0,t,f,0.0,t,g,240.0,0.0,0.8342624854819977,-
89.0,a,49.0,1.5,u,g,j,j,0.0,t,f,0.0,t,g,100.0,27.0,0.6075057736720554,-
90.0,b,62.5,12.75,y,p,c,h,5.0,t,f,0.0,f,g,112.0,0.0,0.5441176470588236,-
91.0,b,31.42,15.5,u,g,c,v,0.5,t,f,0.0,f,g,120.0,0.0,0.624113475177305,-
92.0,b,31.42,5.0,y,p,aa,v,8.5,t,f,0.0,f,g,0.0,0.0,0.5441176470588236,-
93.0,b,52.33,1.375,y,p,c,h,9.46,t,f,0.0,t,g,200.0,100.0,0.5441176470588236,-
94.0,b,28.75,1.5,y,p,c,v,1.5,t,f,0.0,t,g,0.0,225.0,0.55,-
95.0,a,28.58,3.54,u,g,i,bb,0.5,t,f,0.0,t,g,171.0,0.0,0.5029013539651837,-
98.0,a,22.5,11.0,y,p,q,v,3.0,t,f,0.0,t,g,268.0,0.0,0.5441176470588236,-
99.0,a,28.5,1.0,u,g,q,v,1.0,t,t,2.0,t,g,167.0,500.0,0.8396825396825396,-
100.0,b,37.5,1.75,y,p,c,bb,0.25,t,f,0.0,t,g,164.0,400.0,0.6309523809523809,-
101.0,b,35.25,16.5,y,p,c,v,4.0,t,f,0.0,f,g,80.0,0.0,0.5441176470588236,-
102.0,b,18.67,5.0,u,g,q,v,0.375,t,t,2.0,f,g,0.0,38.0,0.8649350649350649,-
104.0,b,27.83,4.0,y,p,i,h,5.75,t,t,2.0,t,g,75.0,0.0,0.6309523809523809,-
105.0,b,54.83,15.5,u,g,e,z,0.0,t,t,20.0,f,g,152.0,130.0,0.8497835497835498,-
