%
% 1. Title: Protein Localization Sites
%
%
% 2. Creator and Maintainer:
% 	     Kenta Nakai
%              Institue of Molecular and Cellular Biology
% 	     Osaka, University
% 	     1-3 Yamada-oka, Suita 565 Japan
% 	     nakai@imcb.osaka-u.ac.jp
%              http://www.imcb.osaka-u.ac.jp/nakai/psort.html
%    Donor: Paul Horton (paulh@cs.berkeley.edu)
%    Date:  September, 1996
%    See also: yeast database
%
% 3. Past Usage.
% Reference: "A Probablistic Classification System for Predicting the Cellular
%            Localization Sites of Proteins", Paul Horton & Kenta Nakai,
%            Intelligent Systems in Molecular Biology, 109-115.
% 	   St. Louis, USA 1996.
% Results: 81% for E.coli with an ad hoc structured
% 	 probability model. Also similar accuracy for Binary Decision Tree and
% 	 Bayesian Classifier methods applied by the same authors in
% 	 unpublished results.
%
% Predicted Attribute: Localization site of protein. ( non-numeric ).
%
%
% 4. The references below describe a predecessor to this dataset and its
% development. They also give results (not cross-validated) for classification
% by a rule-based expert system with that version of the dataset.
%
% Reference: "Expert Sytem for Predicting Protein Localization Sites in
%            Gram-Negative Bacteria", Kenta Nakai & Minoru Kanehisa,
%            PROTEINS: Structure, Function, and Genetics 11:95-110, 1991.
%
% Reference: "A Knowledge Base for Predicting Protein Localization Sites in
% 	   Eukaryotic Cells", Kenta Nakai & Minoru Kanehisa,
% 	   Genomics 14:897-911, 1992.
%
%
% 5. Number of Instances:  336 for the E.coli dataset and
%
%
% 6. Number of Attributes.
%          for E.coli dataset:  8 ( 7 predictive, 1 name )
% 	
% 7. Attribute Information.
%
%   1.  Sequence Name: Accession number for the SWISS-PROT database
%   2.  mcg: McGeoch's method for signal sequence recognition.
%   3.  gvh: von Heijne's method for signal sequence recognition.
%   4.  lip: von Heijne's Signal Peptidase II consensus sequence score.
%            Binary attribute.
%   5.  chg: Presence of charge on N-terminus of predicted lipoproteins.
% 	   Binary attribute.
%   6.  aac: score of discriminant analysis of the amino acid content of
% 	   outer membrane and periplasmic proteins.
%   7. alm1: score of the ALOM membrane spanning region prediction program.
%   8. alm2: score of ALOM program after excluding putative cleavable signal
% 	   regions from the sequence.
%
% NOTE - the sequence name has been removed
%
% 8. Missing Attribute Values: None.
%
%
% 9. Class Distribution. The class is the localization site. Please see Nakai &
% 		       Kanehisa referenced above for more details.
%
%   cp  (cytoplasm)                                    143
%   im  (inner membrane without signal sequence)        77
%   pp  (perisplasm)                                    52
%   imU (inner membrane, uncleavable signal sequence)   35
%   om  (outer membrane)                                20
%   omL (outer membrane lipoprotein)                     5
%   imL (inner membrane lipoprotein)                     2
%   imS (inner membrane, cleavable signal sequence)      2
@RELATION ecoli

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE mcg NUMERIC
@ATTRIBUTE gvh NUMERIC
@ATTRIBUTE lip NUMERIC
@ATTRIBUTE chg NUMERIC
@ATTRIBUTE aac NUMERIC
@ATTRIBUTE alm1 NUMERIC
@ATTRIBUTE alm2 NUMERIC
@ATTRIBUTE OD_VALUE REAL
@ATTRIBUTE class {cp, im, pp, imU, om, omL, imL, imS}

@DATA
0.0,0.49,0.29,0.48,0.5,0.56,0.24,0.35,0.5899628252788104,cp
1.0,0.07,0.4,0.48,0.5,0.54,0.35,0.44,0.5042485395645246,cp
2.0,0.56,0.4,0.48,0.5,0.49,0.37,0.46,0.3392585999266977,cp
3.0,0.59,0.49,0.48,0.5,0.52,0.45,0.36,0.4566294919454771,cp
4.0,0.23,0.32,0.48,0.5,0.55,0.25,0.35,0.42960246491845,cp
5.0,0.67,0.39,0.48,0.5,0.36,0.38,0.46,0.5399628252788105,cp
7.0,0.21,0.34,0.48,0.5,0.51,0.28,0.39,0.42960246491845,cp
8.0,0.2,0.44,0.48,0.5,0.46,0.51,0.57,0.4673821801175201,cp
9.0,0.42,0.4,0.48,0.5,0.56,0.18,0.3,0.4899628252788104,cp
11.0,0.25,0.48,0.48,0.5,0.44,0.17,0.29,0.42960246491845,cp
12.0,0.39,0.32,0.48,0.5,0.46,0.24,0.35,0.3524628252788104,cp
13.0,0.51,0.5,0.48,0.5,0.46,0.32,0.35,0.4566294919454771,cp
14.0,0.22,0.43,0.48,0.5,0.48,0.16,0.28,0.42960246491845,cp
16.0,0.34,0.45,0.48,0.5,0.38,0.24,0.35,0.42960246491845,cp
20.0,0.4,0.45,0.48,0.5,0.38,0.22,0.0,0.5399628252788105,cp
21.0,0.31,0.23,0.48,0.5,0.73,0.05,0.14,0.5899628252788104,cp
23.0,0.3,0.16,0.48,0.5,0.56,0.11,0.23,0.4899628252788104,cp
25.0,0.29,0.37,0.48,0.5,0.48,0.44,0.52,0.4673821801175201,cp
26.0,0.25,0.4,0.48,0.5,0.47,0.33,0.42,0.38996282527881043,cp
27.0,0.21,0.51,0.48,0.5,0.5,0.32,0.41,0.2899628252788104,cp
28.0,0.43,0.37,0.48,0.5,0.53,0.35,0.44,0.3524628252788104,cp
29.0,0.43,0.39,0.48,0.5,0.47,0.31,0.41,0.3524628252788104,cp
32.0,0.56,0.51,0.48,0.5,0.34,0.37,0.46,0.4010739363899215,cp
33.0,0.4,0.29,0.48,0.5,0.42,0.35,0.44,0.43281996813595325,cp
34.0,0.24,0.35,0.48,0.5,0.31,0.19,0.31,0.5899628252788104,cp
35.0,0.36,0.54,0.48,0.5,0.41,0.38,0.46,0.4566294919454771,cp
36.0,0.29,0.52,0.48,0.5,0.42,0.29,0.39,0.2899628252788104,cp
37.0,0.65,0.47,0.48,0.5,0.59,0.3,0.4,0.38996282527881043,cp
38.0,0.32,0.42,0.48,0.5,0.35,0.28,0.38,0.42960246491845,cp
40.0,0.33,0.45,0.48,0.5,0.52,0.32,0.41,0.2899628252788104,cp
41.0,0.3,0.37,0.48,0.5,0.59,0.41,0.49,0.4673821801175201,cp
42.0,0.4,0.5,0.48,0.5,0.45,0.39,0.47,0.5399628252788105,cp
43.0,0.28,0.38,0.48,0.5,0.5,0.33,0.42,0.38996282527881043,cp
44.0,0.61,0.45,0.48,0.5,0.48,0.35,0.41,0.3392585999266977,cp
45.0,0.17,0.38,0.48,0.5,0.45,0.42,0.5,0.4673821801175201,cp
