@RELATION badges2

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE length NUMERIC
@ATTRIBUTE even_odd {0, 1}
@ATTRIBUTE first_char_vowel {0, 1}
@ATTRIBUTE second_char_vowel {0, 1}
@ATTRIBUTE vowels NUMERIC
@ATTRIBUTE consonants NUMERIC
@ATTRIBUTE vowel_consonant_ratio NUMERIC
@ATTRIBUTE spaces NUMERIC
@ATTRIBUTE dots NUMERIC
@ATTRIBUTE words NUMERIC
@ATTRIBUTE OD_VALUE REAL
@ATTRIBUTE class {-, +}

@DATA
1.0,15.0,0,1,1,7.0,7.0,1.0,1.0,0.0,2.0,0.262550881953867,+
3.0,12.0,1,1,0,4.0,7.0,0.57,1.0,0.0,2.0,0.4711764705882353,-
4.0,11.0,0,1,0,6.0,4.0,1.5,1.0,0.0,2.0,0.8615384615384616,-
5.0,15.0,0,1,0,5.0,7.0,0.71,2.0,1.0,3.0,0.5273224043715847,-
6.0,12.0,1,1,0,2.0,7.0,0.29,2.0,1.0,3.0,0.6473168214654283,-
7.0,13.0,0,1,0,5.0,7.0,0.71,1.0,0.0,2.0,0.49109052031361367,-
9.0,18.0,1,1,0,8.0,9.0,0.89,1.0,0.0,2.0,0.539655172413793,-
10.0,16.0,1,1,0,8.0,7.0,1.14,1.0,0.0,2.0,0.65,-
11.0,16.0,1,1,0,6.0,9.0,0.67,1.0,0.0,2.0,0.3411016949152542,-
12.0,11.0,0,1,0,4.0,6.0,0.67,1.0,0.0,2.0,0.5464767616191905,-
13.0,16.0,1,1,0,8.0,7.0,1.14,1.0,0.0,2.0,0.65,-
15.0,10.0,1,1,0,3.0,6.0,0.5,1.0,0.0,2.0,0.5464767616191905,-
16.0,20.0,1,0,1,8.0,11.0,0.73,1.0,0.0,2.0,0.5454545454545454,+
17.0,20.0,1,0,1,7.0,10.0,0.7,2.0,1.0,3.0,0.5454545454545454,+
18.0,19.0,0,0,1,5.0,13.0,0.38,1.0,0.0,2.0,0.6704545454545454,+
19.0,16.0,1,0,0,5.0,10.0,0.5,1.0,0.0,2.0,0.625,-
20.0,10.0,1,0,1,2.0,7.0,0.29,1.0,0.0,2.0,0.4166666666666667,+
23.0,20.0,1,0,0,5.0,12.0,0.42,2.0,1.0,3.0,0.5307568673290473,-
24.0,17.0,0,0,0,5.0,9.0,0.56,2.0,1.0,3.0,0.5512820512820512,-
25.0,12.0,1,0,0,4.0,7.0,0.57,1.0,0.0,2.0,0.4711764705882353,-
26.0,18.0,1,0,0,6.0,9.0,0.67,2.0,1.0,3.0,0.5096153846153846,-
27.0,13.0,0,0,1,2.0,8.0,0.25,2.0,1.0,3.0,0.3993725868725869,+
28.0,16.0,1,0,1,5.0,8.0,0.62,2.0,1.0,3.0,0.35714285714285715,+
29.0,15.0,0,0,0,3.0,9.0,0.33,2.0,1.0,3.0,0.675,-
30.0,12.0,1,0,0,2.0,7.0,0.29,2.0,1.0,3.0,0.6473168214654283,-
31.0,14.0,1,0,0,5.0,8.0,0.62,1.0,0.0,2.0,0.5193236714975845,-
32.0,12.0,1,0,0,3.0,8.0,0.38,1.0,0.0,2.0,0.48284313725490197,-
33.0,14.0,1,0,0,3.0,10.0,0.3,1.0,0.0,2.0,0.5380952380952381,-
34.0,12.0,1,0,0,3.0,8.0,0.38,1.0,0.0,2.0,0.48284313725490197,-
36.0,19.0,0,0,0,6.0,11.0,0.55,2.0,0.0,3.0,0.5307568673290473,-
37.0,13.0,0,0,0,5.0,7.0,0.71,1.0,0.0,2.0,0.5273224043715847,-
38.0,19.0,0,0,0,8.0,10.0,0.8,1.0,0.0,2.0,0.539655172413793,-
39.0,14.0,1,0,0,4.0,9.0,0.44,1.0,0.0,2.0,0.5018633540372671,-
40.0,20.0,1,0,0,6.0,13.0,0.46,1.0,0.0,2.0,0.5307568673290473,-
41.0,17.0,0,0,0,7.0,9.0,0.78,1.0,0.0,2.0,0.3411016949152542,-
42.0,15.0,0,0,1,4.0,10.0,0.4,1.0,0.0,2.0,0.36394948335246846,+
43.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,0.22515527950310557,+
44.0,8.0,1,0,1,2.0,5.0,0.4,1.0,0.0,2.0,0.25889830508474576,+
45.0,12.0,1,0,1,5.0,6.0,0.83,1.0,0.0,2.0,0.3255649717514124,+
46.0,8.0,1,0,1,3.0,4.0,0.75,1.0,0.0,2.0,0.25889830508474576,+
47.0,15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,0.17164179104477612,+
48.0,17.0,0,0,1,6.0,10.0,0.6,1.0,0.0,2.0,0.28743961352657005,+
52.0,10.0,1,0,1,3.0,6.0,0.5,1.0,0.0,2.0,0.25,+
56.0,14.0,1,0,1,4.0,9.0,0.44,1.0,0.0,2.0,0.21010332950631458,+
57.0,17.0,0,0,1,6.0,10.0,0.6,1.0,0.0,2.0,0.28743961352657005,+
58.0,13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,0.27840909090909094,+
60.0,12.0,1,0,1,5.0,6.0,0.83,1.0,0.0,2.0,0.3255649717514124,+
61.0,12.0,1,0,1,4.0,5.0,0.8,2.0,1.0,3.0,0.6333333333333333,+
