% 1. Title: Contraceptive Method Choice
%
% 2. Sources:
%    (a) Origin:  This dataset is a subset of the 1987 National Indonesia
%                 Contraceptive Prevalence Survey
%    (b) Creator: Tjen-Sien Lim (limt@stat.wisc.edu)
%    (c) Donor:   Tjen-Sien Lim (limt@stat.wisc.edu)
%    (c) Date:    June 7, 1997
%
% 3. Past Usage:
%    Lim, T.-S., Loh, W.-Y. & Shih, Y.-S. (1999). A Comparison of
%    Prediction Accuracy, Complexity, and Training Time of Thirty-three
%    Old and New Classification Algorithms. Machine Learning. Forthcoming.
%    (ftp://ftp.stat.wisc.edu/pub/loh/treeprogs/quest1.7/mach1317.pdf or
%    (http://www.stat.wisc.edu/~limt/mach1317.pdf)
%
% 4. Relevant Information:
%    This dataset is a subset of the 1987 National Indonesia Contraceptive
%    Prevalence Survey. The samples are married women who were either not
%    pregnant or do not know if they were at the time of interview. The
%    problem is to predict the current contraceptive method choice
%    (no use, long-term methods, or short-term methods) of a woman based
%    on her demographic and socio-economic characteristics.
%
% 5. Number of Instances: 1473
%
% 6. Number of Attributes: 10 (including the class attribute)
%
% 7. Attribute Information:
%
%    1. Wife's age                     (numerical)
%    2. Wife's education               (categorical)      1=low, 2, 3, 4=high
%    3. Husband's education            (categorical)      1=low, 2, 3, 4=high
%    4. Number of children ever born   (numerical)
%    5. Wife's religion                (binary)           0=Non-Islam, 1=Islam
%    6. Wife's now working?            (binary)           0=Yes, 1=No
%    7. Husband's occupation           (categorical)      1, 2, 3, 4
%    8. Standard-of-living index       (categorical)      1=low, 2, 3, 4=high
%    9. Media exposure                 (binary)           0=Good, 1=Not good
%    10. Contraceptive method used     (class attribute)  1=No-use
%                                                         2=Long-term
%                                                         3=Short-term
%
% 8. Missing Attribute Values: None
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%
@RELATION cmc

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE Wifes_age INTEGER
@ATTRIBUTE Wifes_education {1, 2, 3, 4}
@ATTRIBUTE Husbands_education {1, 2, 3, 4}
@ATTRIBUTE Number_of_children_ever_born INTEGER
@ATTRIBUTE Wifes_religion {0, 1}
@ATTRIBUTE "Wifes_now_working%3F" {0, 1}
@ATTRIBUTE Husbands_occupation {1, 2, 3, 4}
@ATTRIBUTE Standard-of-living_index {1, 2, 3, 4}
@ATTRIBUTE Media_exposure {0, 1}
@ATTRIBUTE OD_VALUE REAL
@ATTRIBUTE Contraceptive_method_used {1, 2, 3}

@DATA
1.0,45,1,3,10,1,1,3,4,0,0.5388059701492537,1
3.0,42,3,2,9,1,1,3,3,0,0.5388059701492537,1
4.0,36,3,3,8,1,1,3,2,0,0.6486289987536352,1
5.0,19,4,4,0,1,1,3,3,0,0.45996038483305035,1
8.0,27,2,3,3,1,1,3,4,0,0.5024390243902439,1
10.0,38,1,3,2,1,0,3,3,1,0.4079877112135176,1
11.0,42,1,4,4,1,1,1,3,0,0.7305555555555556,1
12.0,44,4,4,1,1,0,1,4,0,0.4666666666666667,1
13.0,42,2,4,1,1,0,3,3,0,0.33146853146853145,1
14.0,38,3,4,2,1,1,2,3,0,0.5865591397849462,1
15.0,26,2,4,0,1,1,4,1,0,0.45996038483305035,1
16.0,48,1,1,7,1,1,2,4,0,0.4666666666666667,1
17.0,39,2,2,6,1,1,2,4,0,0.6022857142857143,1
18.0,37,2,2,8,1,1,2,3,0,0.5388059701492537,1
19.0,39,2,1,5,1,1,2,1,1,0.3365591397849462,1
20.0,26,3,4,1,1,0,4,1,0,0.45996038483305035,1
21.0,24,3,4,0,1,0,3,1,0,0.45996038483305035,1
22.0,46,4,4,1,0,1,1,4,0,0.3833333333333333,1
23.0,39,4,4,1,1,1,1,4,0,0.5032258064516129,1
24.0,48,4,4,5,1,1,1,4,0,0.55,1
26.0,38,4,4,1,1,0,1,4,0,0.4155065082059989,1
28.0,24,4,4,0,1,0,2,2,0,0.3821407887116306,1
29.0,43,1,2,8,1,1,2,4,0,0.5388059701492537,1
30.0,31,3,4,2,1,1,1,4,0,0.4444444444444444,1
31.0,31,4,4,2,1,1,3,2,0,0.42557070386810397,1
32.0,26,2,4,0,1,0,1,2,0,0.43265993265993263,1
34.0,24,2,3,1,1,1,3,3,0,0.49061032863849763,1
35.0,42,1,3,9,1,1,3,2,1,0.5388059701492537,1
36.0,43,1,2,8,1,0,3,1,0,0.5388059701492537,1
37.0,25,3,3,4,1,1,3,2,0,0.75,1
38.0,42,2,2,3,1,1,3,4,0,0.425,1
39.0,28,2,2,1,1,1,2,4,0,0.4991760711075602,1
40.0,28,1,1,3,1,1,3,1,0,0.44253215173457255,1
41.0,47,2,3,0,1,0,1,3,0,0.44999999999999996,1
43.0,40,4,4,2,0,1,1,4,0,0.6944444444444444,1
44.0,28,2,2,1,1,1,3,2,0,0.38056271200621944,1
46.0,32,4,4,2,1,1,2,3,0,0.46944444444444444,1
48.0,26,4,4,1,1,1,1,4,0,0.4025735294117647,1
