% 1. Title: Balance Scale Weight & Distance Database
%
% 2. Source Information:
%    (a) Source: Generated to model psychological experiments reported
% 		by Siegler, R. S. (1976).  Three Aspects of Cognitive
% 		Development.  Cognitive Psychology, 8, 481-520.
%    (b) Donor: Tim Hume (hume@ics.uci.edu)
%    (c) Date: 22 April 1994
%
% 3. Past Usage: (possibly different formats of this data)
%   - Publications
% 	1. Klahr, D., & Siegler, R.S. (1978).  The Representation of
% 	   Children's Knowledge.  In H. W. Reese & L. P. Lipsitt (Eds.),
% 	   Advances in Child Development and Behavior, pp. 61-116.  New
% 	   York: Academic Press
% 	2. Langley,P. (1987).  A General Theory of Discrimination
% 	   Learning.  In D. Klahr, P. Langley, & R. Neches (Eds.),
% 	   Production System Models of Learning and Development, pp.
% 	   99-161. Cambridge, MA: MIT Press
% 	3. Newell, A. (1990).  Unified Theories of Cognition.
% 	   Cambridge, MA: Harvard University Press
% 	4. McClelland, J.L. (1988).  Parallel Distibuted Processing:
% 	   Implications for Cognition and Development.  Technical
% 	   Report AIP-47, Department of Psychology, Carnegie-Mellon
% 	   University
% 	5. Shultz, T., Mareschal, D., & Schmidt, W. (1994).  Modeling
% 	   Cognitive Development on Balance Scale Phenomena. Machine
% 	   Learning, Vol. 16, pp. 59-88.
%
% 4. Relevant Information:
% 	This data set was generated to model psychological
% 	experimental results.  Each example is classified as having the
% 	balance scale tip to the right, tip to the left, or be
% 	balanced.  The attributes are the left weight, the left
% 	distance, the right weight, and the right distance.  The
% 	correct way to find the class is the greater of
% 	(left-distance * left-weight) and (right-distance *
% 	right-weight).  If they are equal, it is balanced.
%
% 5. Number of Instances: 625 (49 balanced, 288 left, 288 right)
%
% 6. Number of Attributes: 4 (numeric) + class name = 5
%
% 7. Attribute Information:
% 	1. Class Name: 3 (L, B, R)
% 	2. Left-Weight: 5 (1, 2, 3, 4, 5)
% 	3. Left-Distance: 5 (1, 2, 3, 4, 5)
% 	4. Right-Weight: 5 (1, 2, 3, 4, 5)
% 	5. Right-Distance: 5 (1, 2, 3, 4, 5)
%
% 8. Missing Attribute Values:
% 	none
%
% 9. Class Distribution:
%   1. 46.08 percent are L
%   2. 07.84 percent are B
%   3. 46.08 percent are R
%
@RELATION balance-scale

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE left-weight REAL
@ATTRIBUTE left-distance REAL
@ATTRIBUTE right-weight REAL
@ATTRIBUTE right-distance REAL
@ATTRIBUTE OD_VALUE REAL
@ATTRIBUTE class {L, B, R}

@DATA
0.0,1.0,1.0,1.0,1.0,0.5115384615384616,B
1.0,1.0,1.0,1.0,2.0,0.4842105263157894,R
2.0,1.0,1.0,1.0,3.0,0.37,R
3.0,1.0,1.0,1.0,4.0,0.37,R
4.0,1.0,1.0,1.0,5.0,0.38538461538461544,R
5.0,1.0,1.0,2.0,1.0,0.4842105263157894,R
6.0,1.0,1.0,2.0,2.0,0.4842105263157894,R
7.0,1.0,1.0,2.0,3.0,0.37,R
8.0,1.0,1.0,2.0,4.0,0.37,R
9.0,1.0,1.0,2.0,5.0,0.38538461538461544,R
10.0,1.0,1.0,3.0,1.0,0.32793323514973005,R
11.0,1.0,1.0,3.0,2.0,0.32793323514973005,R
13.0,1.0,1.0,3.0,4.0,0.27,R
14.0,1.0,1.0,3.0,5.0,0.27,R
15.0,1.0,1.0,4.0,1.0,0.32793323514973005,R
16.0,1.0,1.0,4.0,2.0,0.32793323514973005,R
17.0,1.0,1.0,4.0,3.0,0.37,R
18.0,1.0,1.0,4.0,4.0,0.37,R
19.0,1.0,1.0,4.0,5.0,0.3518181818181818,R
20.0,1.0,1.0,5.0,1.0,0.32793323514973005,R
21.0,1.0,1.0,5.0,2.0,0.32793323514973005,R
22.0,1.0,1.0,5.0,3.0,0.37,R
23.0,1.0,1.0,5.0,4.0,0.37,R
24.0,1.0,1.0,5.0,5.0,0.3518181818181818,R
25.0,1.0,2.0,1.0,1.0,0.625,L
26.0,1.0,2.0,1.0,2.0,0.5115384615384616,B
27.0,1.0,2.0,1.0,3.0,0.27,R
29.0,1.0,2.0,1.0,5.0,0.38538461538461544,R
30.0,1.0,2.0,2.0,1.0,0.5115384615384616,B
31.0,1.0,2.0,2.0,2.0,0.7166666666666667,R
32.0,1.0,2.0,2.0,3.0,0.27,R
33.0,1.0,2.0,2.0,4.0,0.27,R
34.0,1.0,2.0,2.0,5.0,0.38538461538461544,R
36.0,1.0,2.0,3.0,2.0,0.3755522827687776,R
37.0,1.0,2.0,3.0,3.0,0.3755522827687776,R
39.0,1.0,2.0,3.0,5.0,0.3834749918273946,R
40.0,1.0,2.0,4.0,1.0,0.6333333333333333,R
41.0,1.0,2.0,4.0,2.0,0.6333333333333333,R
42.0,1.0,2.0,4.0,3.0,0.44048734770384257,R
45.0,1.0,2.0,5.0,1.0,0.32793323514973005,R
46.0,1.0,2.0,5.0,2.0,0.32793323514973005,R
47.0,1.0,2.0,5.0,3.0,0.44048734770384257,R
48.0,1.0,2.0,5.0,4.0,0.43666666666666665,R
49.0,1.0,2.0,5.0,5.0,0.43666666666666665,R
50.0,1.0,3.0,1.0,1.0,0.4594017094017094,L
51.0,1.0,3.0,1.0,2.0,0.4594017094017094,L
52.0,1.0,3.0,1.0,3.0,0.6282051282051282,B
54.0,1.0,3.0,1.0,5.0,0.3834749918273946,R
55.0,1.0,3.0,2.0,1.0,0.485042735042735,L
56.0,1.0,3.0,2.0,2.0,0.9235588972431077,R
57.0,1.0,3.0,2.0,3.0,0.43666666666666665,R
58.0,1.0,3.0,2.0,4.0,0.27,R
59.0,1.0,3.0,2.0,5.0,0.3834749918273946,R
60.0,1.0,3.0,3.0,1.0,0.5690721649484536,B
62.0,1.0,3.0,3.0,3.0,0.3834749918273946,R
63.0,1.0,3.0,3.0,4.0,0.3834749918273946,R
64.0,1.0,3.0,3.0,5.0,0.3834749918273946,R
66.0,1.0,3.0,4.0,2.0,0.44048734770384257,R
67.0,1.0,3.0,4.0,3.0,0.44048734770384257,R
68.0,1.0,3.0,4.0,4.0,0.3834749918273946,R
69.0,1.0,3.0,4.0,5.0,0.3834749918273946,R
70.0,1.0,3.0,5.0,1.0,0.5104166666666666,R
71.0,1.0,3.0,5.0,2.0,0.5104166666666666,R
72.0,1.0,3.0,5.0,3.0,0.3834749918273946,R
73.0,1.0,3.0,5.0,4.0,0.3834749918273946,R
74.0,1.0,3.0,5.0,5.0,0.4139097744360902,R
75.0,1.0,4.0,1.0,1.0,0.4594017094017094,L
76.0,1.0,4.0,1.0,2.0,0.4594017094017094,L
77.0,1.0,4.0,1.0,3.0,0.6965069413345275,L
78.0,1.0,4.0,1.0,4.0,0.6277056277056277,B
79.0,1.0,4.0,1.0,5.0,0.3834749918273946,R
80.0,1.0,4.0,2.0,1.0,0.485042735042735,L
81.0,1.0,4.0,2.0,2.0,0.8214285714285714,B
82.0,1.0,4.0,2.0,3.0,0.5238095238095238,R
83.0,1.0,4.0,2.0,4.0,0.5238095238095238,R
84.0,1.0,4.0,2.0,5.0,0.3834749918273946,R
86.0,1.0,4.0,3.0,2.0,0.43890977443609025,R
87.0,1.0,4.0,3.0,3.0,0.43890977443609025,R
88.0,1.0,4.0,3.0,4.0,0.5062174667437825,R
89.0,1.0,4.0,3.0,5.0,0.5062174667437825,R
90.0,1.0,4.0,4.0,1.0,0.5690721649484536,B
91.0,1.0,4.0,4.0,2.0,0.625,R
92.0,1.0,4.0,4.0,3.0,0.38745704467353953,R
93.0,1.0,4.0,4.0,4.0,0.38745704467353953,R
94.0,1.0,4.0,4.0,5.0,0.3834749918273946,R
