% %  1. Title of Database: Abalone data
% %
% %  2. Sources:
% %
% %     (a) Original owners of database:
% %  	Marine Resources Division
% %  	Marine Research Laboratories - Taroona
% %  	Department of Primary Industry and Fisheries, Tasmania
% %  	GPO Box 619F, Hobart, Tasmania 7001, Australia
% %  	(contact: Warwick Nash +61 02 277277, wnash@dpi.tas.gov.au)
% %
% %     (b) Donor of database:
% %  	Sam Waugh (Sam.Waugh@cs.utas.edu.au)
% %  	Department of Computer Science, University of Tasmania
% %  	GPO Box 252C, Hobart, Tasmania 7001, Australia
% %
% %     (c) Date received: December 1995
% %
% %
% %  3. Past Usage:
% %
% %     Sam Waugh (1995) "Extending and benchmarking Cascade-Correlation", PhD
% %     thesis, Computer Science Department, University of Tasmania.
% %
% %     -- Test set performance (final 1044 examples, first 3133 used for training):
% %  	24.86% Cascade-Correlation (no hidden nodes)
% %  	26.25% Cascade-Correlation (5 hidden nodes)
% %  	21.5%  C4.5
% %  	 0.0%  Linear Discriminate Analysis
% %  	 3.57% k=5 Nearest Neighbour
% %        (Problem encoded as a classification task)
% %
% %     -- Data set samples are highly overlapped.  Further information is required
% %  	to separate completely using affine combinations.  Other restrictions
% %  	to data set examined.
% %
% %     David Clark, Zoltan Schreter, Anthony Adams "A Quantitative Comparison of
% %     Dystal and Backpropagation", submitted to the Australian Conference on
% %     Neural Networks (ACNN'96). Data set treated as a 3-category classification
% %     problem (grouping ring classes 1-8, 9 and 10, and 11 on).
% %
% %     -- Test set performance (3133 training, 1044 testing as above):
% %  	64%    Backprop
% %  	55%    Dystal
% %     -- Previous work (Waugh, 1995) on same data set:
% %  	61.40% Cascade-Correlation (no hidden nodes)
% %  	65.61% Cascade-Correlation (5 hidden nodes)
% %  	59.2%  C4.5
% %  	32.57% Linear Discriminate Analysis
% %  	62.46% k=5 Nearest Neighbour
% %
% %
% %  4. Relevant Information Paragraph:
% %
% %     Predicting the age of abalone from physical measurements.  The age of
% %     abalone is determined by cutting the shell through the cone, staining it,
% %     and counting the number of rings through a microscope -- a boring and
% %     time-consuming task.  Other measurements, which are easier to obtain, are
% %     used to predict the age.  Further information, such as weather patterns
% %     and location (hence food availability) may be required to solve the problem.
% %
% %     From the original data examples with missing values were removed (the
% %     majority having the predicted value missing), and the ranges of the
% %     continuous values have been scaled for use with an ANN (by dividing by 200).
% %
% %     Data comes from an original (non-machine-learning) study:
% %
% %  	Warwick J Nash, Tracy L Sellers, Simon R Talbot, Andrew J Cawthorn and
% %  	Wes B Ford (1994) "The Population Biology of Abalone (_Haliotis_
% %  	species) in Tasmania. I. Blacklip Abalone (_H. rubra_) from the North
% %  	Coast and Islands of Bass Strait", Sea Fisheries Division, Technical
% %  	Report No. 48 (ISSN 1034-3288)
% %
% %
% %  5. Number of Instances: 4177
% %
% %
% %  6. Number of Attributes: 8
% %
% %
% %  7. Attribute information:
% %
% %     Given is the attribute name, attribute type, the measurement unit and a
% %     brief description.  The number of rings is the value to predict: either
% %     as a continuous value or as a classification problem.
% %
% %  	Name		Data Type	Meas.	Description
% %  	----		---------	-----	-----------
% %  	Sex		nominal			M, F, and I (infant)
% %  	Length		continuous	mm	Longest shell measurement
% %  	Diameter	continuous	mm	perpendicular to length
% %  	Height		continuous	mm	with meat in shell
% %  	Whole weight	continuous	grams	whole abalone
% %  	Shucked weight	continuous	grams	weight of meat
% %  	Viscera weight	continuous	grams	gut weight (after bleeding)
% %  	Shell weight	continuous	grams	after being dried
% %  	Rings		integer			+1.5 gives the age in years
% %
% %     Statistics for numeric domains:
% %
% %  		Length	Diam	Height	Whole	Shucked	Viscera	Shell	Rings
% %  	Min	0.075	0.055	0.000	0.002	0.001	0.001	0.002	    1
% %  	Max	0.815	0.650	1.130	2.826	1.488	0.760	1.005	   29
% %  	Mean	0.524	0.408	0.140	0.829	0.359	0.181	0.239	9.934
% %  	SD	0.120	0.099	0.042	0.490	0.222	0.110	0.139	3.224
% %  	Correl	0.557	0.575	0.557	0.540	0.421	0.504	0.628	  1.0
% %
% %
% %  8. Missing Attribute Values: None
% %
% %
% %  9. Class Distribution:
% %
% %  	Class	Examples
% %  	-----	--------
% %  	1	1
% %  	2	1
% %  	3	15
% %  	4	57
% %  	5	115
% %  	6	259
% %  	7	391
% %  	8	568
% %  	9	689
% %  	10	634
% %  	11	487
% %  	12	267
% %  	13	203
% %  	14	126
% %  	15	103
% %  	16	67
% %  	17	58
% %  	18	42
% %  	19	32
% %  	20	26
% %  	21	14
% %  	22	6
% %  	23	9
% %  	24	2
% %  	25	1
% %  	26	1
% %  	27	2
% %  	29	1
% %  	-----	----
% %  	Total	4177s
@RELATION abalone

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE V1 {F, I, M}
@ATTRIBUTE V2 NUMERIC
@ATTRIBUTE V3 NUMERIC
@ATTRIBUTE V4 NUMERIC
@ATTRIBUTE V5 NUMERIC
@ATTRIBUTE V6 NUMERIC
@ATTRIBUTE V7 NUMERIC
@ATTRIBUTE V8 NUMERIC
@ATTRIBUTE OD_VALUE REAL
@ATTRIBUTE Class {1, 2, 3}

@DATA
0.0,M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,0.7375,3
1.0,M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,0.6653404067197171,1
2.0,F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,0.5627741884023291,2
4.0,I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,0.4988031119090365,1
6.0,F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,0.5335837384003536,3
7.0,F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,0.5746328520301123,3
8.0,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,0.4396989565056792,2
11.0,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,0.4719387755102041,2
12.0,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,0.4783134147979052,3
13.0,F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,0.6486068111455108,2
14.0,F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,0.8090909090909091,2
16.0,I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,0.6321364452423699,1
17.0,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,0.56943931073327,2
18.0,M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,0.7153404067197171,1
19.0,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,0.5136054421768708,2
20.0,M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,0.926955238563699,3
21.0,I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,0.8116107814399085,2
22.0,F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,0.6212121212121212,3
23.0,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,0.5885678391959799,2
25.0,F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,0.4724259970434486,3
26.0,F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,0.4870443001350222,3
29.0,M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,0.7166666666666667,3
30.0,M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,0.7964699393270822,2
31.0,F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,0.49670855774985034,3
32.0,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,0.5833333333333334,3
33.0,F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,0.5050418910831838,3
34.0,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,0.5707826318239244,3
35.0,M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,0.5886077334523903,1
36.0,F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,0.5694587628865979,3
37.0,F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,0.5863272686294998,1
38.0,F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,0.5709555345316935,3
39.0,M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,0.7129358830146232,2
41.0,F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,0.7,3
43.0,I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,0.5037505454278985,1
44.0,I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,0.5037505454278985,1
45.0,I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,0.5244441375500621,1
46.0,M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,0.6925536774783005,2
48.0,I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,0.4625712278510655,1
49.0,F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,0.5513895028704263,2
50.0,I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,0.601367214473139,1
51.0,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,0.6186896890163678,1
52.0,M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,0.596938775510204,2
53.0,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,0.5732843137254902,2
56.0,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,0.5886077334523903,1
57.0,M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,0.5820070733863837,1
58.0,I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,0.5037505454278985,1
59.0,F,0.505,0.4,0.125,0.583,0.246,0.13,0.175,0.6776819923371648,1
61.0,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,0.541038525963149,2
63.0,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,0.5886077334523903,1
64.0,M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,0.5739856830120522,1
65.0,M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,0.5886077334523903,1
67.0,F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,0.6300418910831838,3
69.0,I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,0.5037505454278985,1
70.0,M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,0.48900860196368057,3
71.0,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,0.8071428571428572,1
