% 1. Title: Contraceptive Method Choice
%
% 2. Sources:
%    (a) Origin:  This dataset is a subset of the 1987 National Indonesia
%                 Contraceptive Prevalence Survey
%    (b) Creator: Tjen-Sien Lim (limt@stat.wisc.edu)
%    (c) Donor:   Tjen-Sien Lim (limt@stat.wisc.edu)
%    (c) Date:    June 7, 1997
%
% 3. Past Usage:
%    Lim, T.-S., Loh, W.-Y. & Shih, Y.-S. (1999). A Comparison of
%    Prediction Accuracy, Complexity, and Training Time of Thirty-three
%    Old and New Classification Algorithms. Machine Learning. Forthcoming.
%    (ftp://ftp.stat.wisc.edu/pub/loh/treeprogs/quest1.7/mach1317.pdf or
%    (http://www.stat.wisc.edu/~limt/mach1317.pdf)
%
% 4. Relevant Information:
%    This dataset is a subset of the 1987 National Indonesia Contraceptive
%    Prevalence Survey. The samples are married women who were either not
%    pregnant or do not know if they were at the time of interview. The
%    problem is to predict the current contraceptive method choice
%    (no use, long-term methods, or short-term methods) of a woman based
%    on her demographic and socio-economic characteristics.
%
% 5. Number of Instances: 1473
%
% 6. Number of Attributes: 10 (including the class attribute)
%
% 7. Attribute Information:
%
%    1. Wife's age                     (numerical)
%    2. Wife's education               (categorical)      1=low, 2, 3, 4=high
%    3. Husband's education            (categorical)      1=low, 2, 3, 4=high
%    4. Number of children ever born   (numerical)
%    5. Wife's religion                (binary)           0=Non-Islam, 1=Islam
%    6. Wife's now working?            (binary)           0=Yes, 1=No
%    7. Husband's occupation           (categorical)      1, 2, 3, 4
%    8. Standard-of-living index       (categorical)      1=low, 2, 3, 4=high
%    9. Media exposure                 (binary)           0=Good, 1=Not good
%    10. Contraceptive method used     (class attribute)  1=No-use
%                                                         2=Long-term
%                                                         3=Short-term
%
% 8. Missing Attribute Values: None
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%
@RELATION cmc

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE Wifes_age INTEGER
@ATTRIBUTE Wifes_education {1, 2, 3, 4}
@ATTRIBUTE Husbands_education {1, 2, 3, 4}
@ATTRIBUTE Number_of_children_ever_born INTEGER
@ATTRIBUTE Wifes_religion {0, 1}
@ATTRIBUTE "Wifes_now_working%3F" {0, 1}
@ATTRIBUTE Husbands_occupation {1, 2, 3, 4}
@ATTRIBUTE Standard-of-living_index {1, 2, 3, 4}
@ATTRIBUTE Media_exposure {0, 1}
@ATTRIBUTE OD_VALUE REAL
@ATTRIBUTE Contraceptive_method_used {1, 2, 3}

@DATA
0.0,24,2,3,3,1,1,2,3,0,0.37445887445887444,1
1.0,45,1,3,10,1,1,3,4,0,0.38268251273344656,1
2.0,43,2,3,7,1,1,3,4,0,0.46273359408952625,1
4.0,36,3,3,8,1,1,3,2,0,0.44509345794392524,1
6.0,38,2,3,6,1,1,3,2,0,0.44509345794392524,1
7.0,21,3,3,1,1,0,3,2,0,0.48874458874458876,1
8.0,27,2,3,3,1,1,3,4,0,0.6979166666666667,1
9.0,45,1,1,8,1,1,2,2,1,0.4493491794001132,1
11.0,42,1,4,4,1,1,1,3,0,0.5700934579439252,1
13.0,42,2,4,1,1,0,3,3,0,0.3853108492482731,1
14.0,38,3,4,2,1,1,2,3,0,0.33333333333333337,1
15.0,26,2,4,0,1,1,4,1,0,0.5462962962962963,1
16.0,48,1,1,7,1,1,2,4,0,0.354111084162018,1
17.0,39,2,2,6,1,1,2,4,0,0.5700934579439252,1
18.0,37,2,2,8,1,1,2,3,0,0.5476190476190477,1
19.0,39,2,1,5,1,1,2,1,1,0.44509345794392524,1
20.0,26,3,4,1,1,0,4,1,0,0.5462962962962963,1
21.0,24,3,4,0,1,0,3,1,0,0.5740740740740741,1
22.0,46,4,4,1,0,1,1,4,0,0.4493491794001132,1
23.0,39,4,4,1,1,1,1,4,0,0.4867601246105919,1
24.0,48,4,4,5,1,1,1,4,0,0.6683006535947713,1
25.0,40,2,4,8,1,1,3,3,0,0.7068511198945981,1
26.0,38,4,4,1,1,0,1,4,0,0.35855499640546373,1
27.0,29,4,4,0,1,0,1,4,0,0.3576190476190476,1
28.0,24,4,4,0,1,0,2,2,0,0.5345149253731343,1
29.0,43,1,2,8,1,1,2,4,0,0.46273359408952625,1
30.0,31,3,4,2,1,1,1,4,0,0.4409090909090909,1
32.0,26,2,4,0,1,0,1,2,0,0.45499999999999996,1
33.0,33,2,2,2,1,1,3,1,0,0.477,1
34.0,24,2,3,1,1,1,3,3,0,0.46886446886446886,1
35.0,42,1,3,9,1,1,3,2,1,0.33823806828900205,1
36.0,43,1,2,8,1,0,3,1,0,0.354111084162018,1
37.0,25,3,3,4,1,1,3,2,0,0.4932725694444444,1
38.0,42,2,2,3,1,1,3,4,0,0.3600934579439252,1
40.0,28,1,1,3,1,1,3,1,0,0.7321428571428572,1
41.0,47,2,3,0,1,0,1,3,0,0.4493491794001132,1
42.0,48,2,4,2,1,1,1,3,0,0.5326825127334465,1
43.0,40,4,4,2,0,1,1,4,0,0.8174603174603174,1
44.0,28,2,2,1,1,1,3,2,0,0.3464471726190476,1
45.0,25,1,4,1,1,1,2,1,0,0.37290219907407407,1
46.0,32,4,4,2,1,1,2,3,0,0.5846153846153845,1
47.0,45,4,4,0,1,1,2,4,0,0.5326825127334465,1
49.0,26,4,4,0,1,0,1,4,0,0.6017156862745098,1
50.0,31,4,4,0,1,0,1,4,0,0.4642857142857143,1
51.0,49,4,4,7,0,1,2,4,0,0.5620942774393289,1
52.0,40,3,4,8,1,1,3,3,0,0.7068511198945981,1
53.0,34,4,4,1,0,0,2,3,0,0.4234285714285714,1
55.0,20,2,2,2,1,1,2,2,1,0.6333333333333333,1
56.0,43,4,4,5,1,0,1,4,0,0.6527777777777778,1
57.0,37,3,4,7,1,1,2,1,0,0.5343791722296395,1
58.0,21,2,3,0,1,1,3,4,0,0.4,1
59.0,49,4,4,6,1,1,1,2,0,0.5620942774393289,1
60.0,42,3,3,10,1,1,3,3,0,0.33823806828900205,1
61.0,20,2,3,1,1,1,2,3,0,0.37325951411772307,1
62.0,47,1,2,2,1,0,1,3,0,0.3326825127334465,1
63.0,22,2,3,1,1,1,2,1,0,0.451181592039801,1
64.0,27,2,4,1,1,0,1,3,0,0.45499999999999996,1
65.0,24,2,4,1,1,1,3,1,0,0.5740740740740741,1
66.0,44,4,2,8,1,1,3,3,0,0.6777777777777778,1
67.0,30,2,3,3,1,1,3,1,0,0.615686274509804,1
68.0,23,3,4,2,1,1,3,4,0,0.7166666666666667,1
69.0,25,4,4,1,1,0,3,3,0,0.46886446886446886,1
70.0,47,2,3,4,1,1,2,3,0,0.3709178068510936,1
71.0,48,2,3,8,1,1,1,4,0,0.8090909090909091,1
72.0,29,2,3,1,1,1,1,1,0,0.3464471726190476,1
73.0,29,2,3,1,1,1,1,2,0,0.3464471726190476,1
74.0,21,3,4,0,1,1,2,3,0,0.40951492537313433,1
75.0,21,3,4,1,1,1,2,3,0,0.40951492537313433,1
76.0,29,4,4,0,1,0,2,4,0,0.5476190476190477,1
77.0,45,3,4,3,1,1,1,4,0,0.5192307692307692,1
78.0,33,2,3,2,1,1,3,2,0,0.477,1
79.0,38,4,4,1,1,0,1,4,0,0.35855499640546373,1
80.0,24,4,4,0,0,1,1,4,0,0.6333333333333333,1
81.0,49,4,4,6,0,0,1,4,0,0.5620942774393289,1
82.0,24,2,4,1,1,0,4,4,0,0.451181592039801,1
84.0,30,4,4,2,1,1,1,4,0,0.40090909090909094,1
85.0,33,4,4,2,1,1,1,4,0,0.5186666666666666,1
87.0,35,4,4,3,0,1,1,4,0,0.5963636363636364,1
89.0,24,2,2,3,1,0,2,1,0,0.5168918918918919,1
90.0,25,2,3,0,1,1,2,1,0,0.37290219907407407,1
91.0,46,2,4,6,1,1,1,4,0,0.38268251273344656,1
92.0,26,2,2,3,1,1,2,1,0,0.5585585585585585,1
93.0,38,2,2,1,1,0,3,2,0,0.3655480033984707,1
94.0,47,1,2,3,1,1,1,3,0,0.3326825127334465,1
95.0,41,1,3,10,1,1,2,3,1,0.33823806828900205,1
97.0,28,4,4,5,1,1,2,1,0,0.6184593023255813,1
98.0,17,2,2,3,1,1,3,1,0,0.5537456946039035,1
99.0,27,2,3,5,1,1,2,1,0,0.6184593023255813,1
101.0,19,2,3,0,1,0,2,2,0,0.45238095238095233,1
102.0,27,2,4,3,1,0,3,2,0,0.4283461972891566,1
103.0,26,4,3,4,1,1,2,3,0,0.6383928571428572,1
104.0,23,2,4,2,1,1,3,3,0,0.37325951411772307,1
105.0,40,3,3,3,1,1,3,2,0,0.3617601246105919,1
106.0,22,4,4,0,1,1,1,1,0,0.44308943089430897,1
107.0,44,3,4,4,1,0,1,3,0,0.46273359408952625,1
108.0,29,2,3,2,1,1,3,1,0,0.615686274509804,1
110.0,45,4,4,1,1,0,3,3,0,0.4493491794001132,1
111.0,32,3,3,7,1,0,2,3,0,0.7108108108108109,1
112.0,21,4,4,1,1,1,1,4,0,0.5,1
114.0,21,3,4,0,1,1,1,3,0,0.451181592039801,1
115.0,37,4,4,1,1,1,1,4,0,0.35855499640546373,1
116.0,34,4,4,3,0,0,3,3,0,0.6321961620469083,1
117.0,44,3,4,1,1,1,1,3,0,0.4493491794001132,1
118.0,49,4,3,5,1,1,2,3,0,0.5620942774393289,1
119.0,26,2,3,2,1,1,3,3,0,0.4509466437177281,1
120.0,38,1,2,1,1,1,2,4,1,0.6200934579439252,1
121.0,36,2,3,5,1,1,2,3,0,0.5,1
122.0,26,3,4,2,1,1,3,3,0,0.5461847389558233,1
123.0,20,2,3,1,0,1,3,2,0,0.4666666666666667,1
125.0,31,3,4,2,1,1,1,2,1,0.477,1
127.0,36,2,3,2,1,1,3,2,1,0.4536231884057971,1
128.0,43,1,3,2,1,0,2,2,1,0.5826825127334465,1
130.0,48,3,4,3,1,1,3,1,0,0.4493491794001132,1
131.0,30,4,4,0,0,0,1,3,0,0.5476190476190477,1
132.0,48,1,2,8,1,1,3,1,0,0.33072521735978105,1
133.0,28,3,4,1,1,1,3,1,1,0.3464471726190476,1
134.0,26,4,4,1,1,1,1,3,0,0.6017156862745098,1
137.0,21,3,3,2,1,1,2,2,0,0.48874458874458876,1
141.0,30,4,4,0,0,0,3,3,0,0.4642857142857143,1
142.0,47,4,4,1,1,0,1,3,0,0.4493491794001132,1
143.0,35,4,4,2,0,1,3,3,0,0.6321961620469083,1
144.0,30,2,4,2,1,1,3,4,0,0.3659012957317073,1
145.0,33,4,4,3,1,1,1,4,0,0.575,1
146.0,45,4,4,4,1,1,2,3,0,0.46273359408952625,1
148.0,32,4,4,1,1,0,1,3,0,0.675,1
149.0,43,4,4,5,1,1,1,4,0,0.6527777777777778,1
150.0,44,4,4,3,1,1,2,4,0,0.5668498168498168,1
151.0,21,1,3,4,1,1,3,2,0,0.37325951411772307,1
152.0,44,3,4,2,1,1,1,4,1,0.46273359408952625,1
153.0,23,4,4,2,1,1,2,4,0,0.425,1
154.0,47,1,2,4,1,1,2,2,0,0.3709178068510936,1
157.0,32,2,4,4,1,1,3,2,0,0.6858108108108107,1
159.0,22,2,2,2,1,1,3,1,0,0.37325951411772307,1
160.0,23,1,1,3,1,1,2,1,1,0.6666666666666667,1
161.0,30,4,4,0,1,0,1,4,0,0.3576190476190476,1
162.0,44,1,3,0,1,1,2,3,0,0.4241919466957107,1
163.0,40,3,3,1,1,0,3,3,0,0.4200934579439253,1
164.0,34,4,4,4,1,1,2,3,0,0.6041666666666666,1
165.0,37,3,4,1,1,1,2,4,0,0.3915220293724967,1
166.0,49,3,4,5,1,1,1,4,0,0.5620942774393289,1
167.0,26,4,4,1,1,1,1,4,0,0.6017156862745098,1
168.0,22,4,4,0,1,1,2,4,0,0.4347560975609756,1
169.0,20,3,4,0,1,0,2,4,0,0.5,1
172.0,22,2,4,1,1,1,2,4,0,0.3992297817715019,1
173.0,22,3,3,2,1,1,3,4,0,0.3992297817715019,1
175.0,32,2,4,0,1,0,3,4,0,0.4234285714285714,1
176.0,28,4,4,0,0,1,1,3,0,0.37882812499999996,1
177.0,30,2,4,4,1,0,1,4,0,0.62125,1
180.0,34,4,4,2,1,0,1,4,0,0.37148051948051947,1
181.0,25,2,4,1,1,1,2,2,0,0.37290219907407407,1
182.0,42,1,3,12,1,1,3,3,0,0.5326825127334465,1
183.0,48,2,1,3,1,0,4,3,0,0.4493491794001132,1
184.0,35,3,4,5,1,0,2,2,0,0.5850815850815851,1
185.0,33,2,3,1,1,1,3,4,0,0.5186666666666666,1
186.0,20,2,4,0,1,1,3,2,0,0.37325951411772307,1
187.0,36,2,3,4,1,1,3,1,1,0.5869565217391304,1
189.0,27,3,2,3,1,1,3,2,0,0.6295180722891567,1
190.0,30,1,2,4,1,1,4,1,0,0.7108108108108109,1
191.0,31,3,4,3,1,0,3,2,0,0.43333333333333335,1
192.0,44,1,1,11,1,1,4,1,1,0.4493491794001132,1
193.0,24,3,3,2,1,1,3,3,0,0.37325951411772307,1
194.0,18,3,4,0,1,0,3,1,0,0.5537456946039035,1
195.0,45,1,2,6,1,1,3,3,1,0.5326825127334465,1
196.0,25,2,2,3,1,0,3,1,0,0.5168918918918919,1
197.0,36,3,4,6,1,1,2,4,0,0.48214285714285715,1
198.0,30,1,1,5,1,1,2,2,0,0.6649774774774775,1
200.0,42,1,4,11,0,1,2,2,1,0.4493491794001132,1
201.0,22,2,4,0,1,1,3,3,0,0.3992297817715019,1
202.0,36,2,4,2,1,0,2,4,0,0.49483352468427094,1
203.0,27,2,3,2,1,1,3,3,0,0.4509466437177281,1
204.0,40,3,4,1,1,1,1,2,0,0.6534267912772586,1
205.0,22,2,3,2,1,1,3,1,0,0.37325951411772307,1
206.0,26,2,4,0,1,1,3,1,0,0.5462962962962963,1
207.0,31,3,4,0,1,0,2,3,0,0.4642857142857143,1
208.0,32,4,4,1,1,1,1,4,0,0.5186666666666666,1
211.0,45,1,2,1,1,0,3,3,0,0.4241919466957107,1
212.0,26,3,4,3,1,1,3,2,0,0.5461847389558233,1
213.0,48,1,3,5,1,1,3,2,0,0.38268251273344656,1
214.0,43,1,3,8,1,1,3,1,0,0.354111084162018,1
215.0,27,3,4,2,1,0,2,2,0,0.4283461972891566,1
216.0,42,3,2,1,1,1,3,3,0,0.4200934579439253,1
217.0,34,3,2,8,1,0,2,3,1,0.44509345794392524,1
218.0,32,3,2,4,1,1,2,2,1,0.5186666666666666,1
219.0,31,3,3,2,1,0,2,3,0,0.38141176470588234,1
220.0,22,2,3,1,1,1,3,3,0,0.3992297817715019,1
222.0,37,1,2,2,1,1,2,2,1,0.4536231884057971,1
223.0,22,1,2,0,1,1,2,4,0,0.4,1
225.0,32,4,4,4,1,0,1,3,0,0.7651515151515151,1
226.0,37,3,3,2,1,1,1,4,0,0.4867601246105919,1
227.0,45,1,3,1,1,1,2,3,1,0.4241919466957107,1
228.0,47,1,4,8,1,1,3,3,0,0.38268251273344656,1
229.0,28,3,4,0,1,1,3,2,0,0.4642857142857143,1
230.0,48,1,3,4,1,1,3,4,1,0.4493491794001132,1
231.0,26,2,4,1,1,1,1,3,0,0.6666666666666667,1
232.0,21,3,4,0,1,0,3,1,0,0.451181592039801,1
233.0,20,2,3,1,1,1,2,4,0,0.37325951411772307,1
234.0,39,1,1,5,1,0,3,1,1,0.44509345794392524,1
235.0,27,2,3,1,1,0,3,4,0,0.5392156862745099,1
236.0,37,2,3,5,1,0,3,2,0,0.675,1
237.0,24,4,4,1,1,1,3,3,0,0.625,1
238.0,39,3,3,6,1,1,3,3,0,0.44509345794392524,1
239.0,20,3,3,1,1,1,2,3,0,0.451181592039801,1
240.0,19,3,4,1,1,1,2,3,0,0.8944444444444444,1
