% 1. Title: Iris Plants Database
%
% 2. Sources:
%      (a) Creator: R.A. Fisher
%      (b) Donor: Michael Marshall (MARSHALL%PLU@io.arc.nasa.gov)
%      (c) Date: July, 1988
%
% 3. Past Usage:
%    - Publications: too many to mention!!!  Here are a few.
%    1. Fisher,R.A. "The use of multiple measurements in taxonomic problems"
%       Annual Eugenics, 7, Part II, 179-188 (1936); also in "Contributions
%       to Mathematical Statistics" (John Wiley, NY, 1950).
%    2. Duda,R.O., & Hart,P.E. (1973) Pattern Classification and Scene Analysis.
%       (Q327.D83) John Wiley & Sons.  ISBN 0-471-22361-1.  See page 218.
%    3. Dasarathy, B.V. (1980) "Nosing Around the Neighborhood: A New System
%       Structure and Classification Rule for Recognition in Partially Exposed
%       Environments".  IEEE Transactions on Pattern Analysis and Machine
%       Intelligence, Vol. PAMI-2, No. 1, 67-71.
%       -- Results:
%          -- very low misclassification rates (0% for the setosa class)
%    4. Gates, G.W. (1972) "The Reduced Nearest Neighbor Rule".  IEEE
%       Transactions on Information Theory, May 1972, 431-433.
%       -- Results:
%          -- very low misclassification rates again
%    5. See also: 1988 MLC Proceedings, 54-64.  Cheeseman et al's AUTOCLASS II
%       conceptual clustering system finds 3 classes in the data.
%
% 4. Relevant Information:
%    --- This is perhaps the best known database to be found in the pattern
%        recognition literature.  Fisher's paper is a classic in the field
%        and is referenced frequently to this day.  (See Duda & Hart, for
%        example.)  The data set contains 3 classes of 50 instances each,
%        where each class refers to a type of iris plant.  One class is
%        linearly separable from the other 2; the latter are NOT linearly
%        separable from each other.
%    --- Predicted attribute: class of iris plant.
%    --- This is an exceedingly simple domain.
%
% 5. Number of Instances: 150 (50 in each of three classes)
%
% 6. Number of Attributes: 4 numeric, predictive attributes and the class
%
% 7. Attribute Information:
%    1. sepal length in cm
%    2. sepal width in cm
%    3. petal length in cm
%    4. petal width in cm
%    5. class:
%       -- Iris Setosa
%       -- Iris Versicolour
%       -- Iris Virginica
%
% 8. Missing Attribute Values: None
%
% Summary Statistics:
%  	           Min  Max   Mean    SD   Class Correlation
%    sepal length: 4.3  7.9   5.84  0.83    0.7826
%     sepal width: 2.0  4.4   3.05  0.43   -0.4194
%    petal length: 1.0  6.9   3.76  1.76    0.9490  (high!)
%     petal width: 0.1  2.5   1.20  0.76    0.9565  (high!)
%
% 9. Class Distribution: 33.3% for each of 3 classes.
@RELATION iris

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE sepallength REAL
@ATTRIBUTE sepalwidth REAL
@ATTRIBUTE petallength REAL
@ATTRIBUTE petalwidth REAL
@ATTRIBUTE class {Iris-setosa, Iris-versicolor, Iris-virginica}

@DATA
1.0,4.9,3.0,1.4,0.2,Iris-setosa
2.0,4.7,3.2,1.3,0.2,Iris-setosa
3.0,4.6,3.1,1.5,0.2,Iris-setosa
5.0,5.4,3.9,1.7,0.4,Iris-setosa
6.0,4.6,3.4,1.4,0.3,Iris-setosa
7.0,5.0,3.4,1.5,0.2,Iris-setosa
8.0,4.4,2.9,1.4,0.2,Iris-setosa
9.0,4.9,3.1,1.5,0.1,Iris-setosa
12.0,4.8,3.0,1.4,0.1,Iris-setosa
13.0,4.3,3.0,1.1,0.1,Iris-setosa
14.0,5.8,4.0,1.2,0.2,Iris-setosa
17.0,5.1,3.5,1.4,0.3,Iris-setosa
18.0,5.7,3.8,1.7,0.3,Iris-setosa
19.0,5.1,3.8,1.5,0.3,Iris-setosa
20.0,5.4,3.4,1.7,0.2,Iris-setosa
21.0,5.1,3.7,1.5,0.4,Iris-setosa
23.0,5.1,3.3,1.7,0.5,Iris-setosa
24.0,4.8,3.4,1.9,0.2,Iris-setosa
25.0,5.0,3.0,1.6,0.2,Iris-setosa
26.0,5.0,3.4,1.6,0.4,Iris-setosa
29.0,4.7,3.2,1.6,0.2,Iris-setosa
30.0,4.8,3.1,1.6,0.2,Iris-setosa
31.0,5.4,3.4,1.5,0.4,Iris-setosa
33.0,5.5,4.2,1.4,0.2,Iris-setosa
34.0,4.9,3.1,1.5,0.1,Iris-setosa
35.0,5.0,3.2,1.2,0.2,Iris-setosa
36.0,5.5,3.5,1.3,0.2,Iris-setosa
37.0,4.9,3.1,1.5,0.1,Iris-setosa
38.0,4.4,3.0,1.3,0.2,Iris-setosa
39.0,5.1,3.4,1.5,0.2,Iris-setosa
41.0,4.5,2.3,1.3,0.3,Iris-setosa
43.0,5.0,3.5,1.6,0.6,Iris-setosa
45.0,4.8,3.0,1.4,0.3,Iris-setosa
46.0,5.1,3.8,1.6,0.2,Iris-setosa
47.0,4.6,3.2,1.4,0.2,Iris-setosa
48.0,5.3,3.7,1.5,0.2,Iris-setosa
49.0,5.0,3.3,1.4,0.2,Iris-setosa
50.0,7.0,3.2,4.7,1.4,Iris-versicolor
52.0,6.9,3.1,4.9,1.5,Iris-versicolor
53.0,5.5,2.3,4.0,1.3,Iris-versicolor
54.0,6.5,2.8,4.6,1.5,Iris-versicolor
55.0,5.7,2.8,4.5,1.3,Iris-versicolor
56.0,6.3,3.3,4.7,1.6,Iris-versicolor
57.0,4.9,2.4,3.3,1.0,Iris-versicolor
58.0,6.6,2.9,4.6,1.3,Iris-versicolor
59.0,5.2,2.7,3.9,1.4,Iris-versicolor
61.0,5.9,3.0,4.2,1.5,Iris-versicolor
