% 1. Title: Glass Identification Database
%
% 2. Sources:
%     (a) Creator: B. German
%         -- Central Research Establishment
%            Home Office Forensic Science Service
%            Aldermaston, Reading, Berkshire RG7 4PN
%     (b) Donor: Vina Spiehler, Ph.D., DABFT
%                Diagnostic Products Corporation
%                (213) 776-0180 (ext 3014)
%     (c) Date: September, 1987
%
% 3. Past Usage:
%     -- Rule Induction in Forensic Science
%        -- Ian W. Evett and Ernest J. Spiehler
%        -- Central Research Establishment
%           Home Office Forensic Science Service
%           Aldermaston, Reading, Berkshire RG7 4PN
%        -- Unknown technical note number (sorry, not listed here)
%        -- General Results: nearest neighbor held its own with respect to the
%              rule-based system
%
% 4. Relevant Information:n
%       Vina conducted a comparison test of her rule-based system, BEAGLE, the
%       nearest-neighbor algorithm, and discriminant analysis.  BEAGLE is
%       a product available through VRS Consulting, Inc.; 4676 Admiralty Way,
%       Suite 206; Marina Del Ray, CA 90292 (213) 827-7890 and FAX: -3189.
%       In determining whether the glass was a type of "float" glass or not,
%       the following results were obtained (# incorrect answers):
%
%              Type of Sample                            Beagle   NN    DA
%              Windows that were float processed (87)     10      12    21
%              Windows that were not:            (76)     19      16    22
%
%       The study of classification of types of glass was motivated by
%       criminological investigation.  At the scene of the crime, the glass left
%       can be used as evidence...if it is correctly identified!
%
% 5. Number of Instances: 214
%
% 6. Number of Attributes: 10 (including an Id#) plus the class attribute
%    -- all attributes are continuously valued
%
% 7. Attribute Information:
%    1. Id number: 1 to 214
%    2. RI: refractive index
%    3. Na: Sodium (unit measurement: weight percent in corresponding oxide, as
%                   are attributes 4-10)
%    4. Mg: Magnesium
%    5. Al: Aluminum
%    6. Si: Silicon
%    7. K: Potassium
%    8. Ca: Calcium
%    9. Ba: Barium
%   10. Fe: Iron
%   11. Type of glass: (class attribute)
%       -- 1 building_windows_float_processed
%       -- 2 building_windows_non_float_processed
%       -- 3 vehicle_windows_float_processed
%       -- 4 vehicle_windows_non_float_processed (none in this database)
%       -- 5 containers
%       -- 6 tableware
%       -- 7 headlamps
%
% 8. Missing Attribute Values: None
%
% Summary Statistics:
% Attribute:   Min     Max      Mean     SD      Correlation with class
%  2. RI:       1.5112  1.5339   1.5184  0.0030  -0.1642
%  3. Na:      10.73   17.38    13.4079  0.8166   0.5030
%  4. Mg:       0       4.49     2.6845  1.4424  -0.7447
%  5. Al:       0.29    3.5      1.4449  0.4993   0.5988
%  6. Si:      69.81   75.41    72.6509  0.7745   0.1515
%  7. K:        0       6.21     0.4971  0.6522  -0.0100
%  8. Ca:       5.43   16.19     8.9570  1.4232   0.0007
%  9. Ba:       0       3.15     0.1750  0.4972   0.5751
% 10. Fe:       0       0.51     0.0570  0.0974  -0.1879
%
% 9. Class Distribution: (out of 214 total instances)
%     -- 163 Window glass (building windows and vehicle windows)
%        -- 87 float processed
%           -- 70 building windows
%           -- 17 vehicle windows
%        -- 76 non-float processed
%           -- 76 building windows
%           -- 0 vehicle windows
%     -- 51 Non-window glass
%        -- 13 containers
%        -- 9 tableware
%        -- 29 headlamps
%
%
%
%
%
%
%
% Relabeled values in attribute 'Type'
%    From: '1'                     To: 'build wind float'
%    From: '2'                     To: 'build wind non-float'
%    From: '3'                     To: 'vehic wind float'
%    From: '4'                     To: 'vehic wind non-float'
%    From: '5'                     To: containers
%    From: '6'                     To: tableware
%    From: '7'                     To: headlamps
%
@RELATION glass

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE RI REAL
@ATTRIBUTE Na REAL
@ATTRIBUTE Mg REAL
@ATTRIBUTE Al REAL
@ATTRIBUTE Si REAL
@ATTRIBUTE K REAL
@ATTRIBUTE Ca REAL
@ATTRIBUTE Ba REAL
@ATTRIBUTE Fe REAL
@ATTRIBUTE Type {'build wind float', 'build wind non-float', 'vehic wind float', 'vehic wind non-float', containers, tableware, headlamps}

@DATA
0.0,1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0.0,0.0,'build wind float'
1.0,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0.0,0.0,'vehic wind float'
2.0,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,0.0,'build wind float'
3.0,1.51299,14.4,1.74,1.54,74.55,0.0,7.59,0.0,0.0,tableware
4.0,1.53393,12.3,0.0,1.0,70.16,0.12,16.19,0.0,0.24,'build wind non-float'
5.0,1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,'build wind non-float'
6.0,1.51779,13.64,3.65,0.65,73.0,0.06,8.93,0.0,0.0,'vehic wind float'
7.0,1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0.0,0.0,'build wind float'
8.0,1.51545,14.14,0.0,2.68,73.39,0.08,9.07,0.61,0.05,headlamps
10.0,1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0.0,0.0,'build wind non-float'
11.0,1.51743,12.2,3.25,1.16,73.55,0.62,8.9,0.0,0.24,'build wind non-float'
12.0,1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0.0,0.0,'build wind float'
13.0,1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0.0,0.0,'vehic wind float'
14.0,1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0.0,0.17,'vehic wind float'
17.0,1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0.0,0.0,'build wind non-float'
19.0,1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0.0,'build wind non-float'
20.0,1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0.0,0.17,'build wind float'
21.0,1.52475,11.45,0.0,1.88,72.19,0.81,13.24,0.0,0.34,'build wind non-float'
22.0,1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0.0,0.22,'build wind non-float'
23.0,1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0.0,0.11,'build wind float'
24.0,1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,containers
26.0,1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0.0,0.0,'build wind non-float'
27.0,1.51683,14.56,0.0,1.98,73.29,0.0,8.52,1.57,0.07,headlamps
28.0,1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0.0,0.0,'build wind non-float'
29.0,1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0.0,0.0,'vehic wind float'
31.0,1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0.0,0.0,'vehic wind float'
32.0,1.51115,17.38,0.0,0.34,75.41,0.0,6.65,0.0,0.0,tableware
33.0,1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0.0,0.0,'build wind non-float'
34.0,1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,'build wind float'
35.0,1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0.0,0.24,'build wind float'
37.0,1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0.0,0.0,'build wind non-float'
38.0,1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,'build wind non-float'
40.0,1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0.0,0.0,'build wind float'
41.0,1.51806,13.0,3.8,1.08,73.07,0.56,8.38,0.0,0.12,'build wind non-float'
42.0,1.51627,13.0,3.58,1.54,72.83,0.61,8.04,0.0,0.0,'build wind non-float'
43.0,1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0.0,0.0,'build wind non-float'
44.0,1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,'vehic wind float'
46.0,1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0.0,containers
47.0,1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.0,0.0,'build wind float'
