% 1. Title: Contraceptive Method Choice
%
% 2. Sources:
%    (a) Origin:  This dataset is a subset of the 1987 National Indonesia
%                 Contraceptive Prevalence Survey
%    (b) Creator: Tjen-Sien Lim (limt@stat.wisc.edu)
%    (c) Donor:   Tjen-Sien Lim (limt@stat.wisc.edu)
%    (c) Date:    June 7, 1997
%
% 3. Past Usage:
%    Lim, T.-S., Loh, W.-Y. & Shih, Y.-S. (1999). A Comparison of
%    Prediction Accuracy, Complexity, and Training Time of Thirty-three
%    Old and New Classification Algorithms. Machine Learning. Forthcoming.
%    (ftp://ftp.stat.wisc.edu/pub/loh/treeprogs/quest1.7/mach1317.pdf or
%    (http://www.stat.wisc.edu/~limt/mach1317.pdf)
%
% 4. Relevant Information:
%    This dataset is a subset of the 1987 National Indonesia Contraceptive
%    Prevalence Survey. The samples are married women who were either not
%    pregnant or do not know if they were at the time of interview. The
%    problem is to predict the current contraceptive method choice
%    (no use, long-term methods, or short-term methods) of a woman based
%    on her demographic and socio-economic characteristics.
%
% 5. Number of Instances: 1473
%
% 6. Number of Attributes: 10 (including the class attribute)
%
% 7. Attribute Information:
%
%    1. Wife's age                     (numerical)
%    2. Wife's education               (categorical)      1=low, 2, 3, 4=high
%    3. Husband's education            (categorical)      1=low, 2, 3, 4=high
%    4. Number of children ever born   (numerical)
%    5. Wife's religion                (binary)           0=Non-Islam, 1=Islam
%    6. Wife's now working?            (binary)           0=Yes, 1=No
%    7. Husband's occupation           (categorical)      1, 2, 3, 4
%    8. Standard-of-living index       (categorical)      1=low, 2, 3, 4=high
%    9. Media exposure                 (binary)           0=Good, 1=Not good
%    10. Contraceptive method used     (class attribute)  1=No-use
%                                                         2=Long-term
%                                                         3=Short-term
%
% 8. Missing Attribute Values: None
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%
@RELATION cmc

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE Wifes_age INTEGER
@ATTRIBUTE Wifes_education {1, 2, 3, 4}
@ATTRIBUTE Husbands_education {1, 2, 3, 4}
@ATTRIBUTE Number_of_children_ever_born INTEGER
@ATTRIBUTE Wifes_religion {0, 1}
@ATTRIBUTE "Wifes_now_working%3F" {0, 1}
@ATTRIBUTE Husbands_occupation {1, 2, 3, 4}
@ATTRIBUTE Standard-of-living_index {1, 2, 3, 4}
@ATTRIBUTE Media_exposure {0, 1}
@ATTRIBUTE Contraceptive_method_used {1, 2, 3}

@DATA
0.0,24,2,3,3,1,1,2,3,0,1
1.0,45,1,3,10,1,1,3,4,0,1
2.0,43,2,3,7,1,1,3,4,0,1
4.0,36,3,3,8,1,1,3,2,0,1
6.0,38,2,3,6,1,1,3,2,0,1
7.0,21,3,3,1,1,0,3,2,0,1
8.0,27,2,3,3,1,1,3,4,0,1
9.0,45,1,1,8,1,1,2,2,1,1
11.0,42,1,4,4,1,1,1,3,0,1
13.0,42,2,4,1,1,0,3,3,0,1
14.0,38,3,4,2,1,1,2,3,0,1
15.0,26,2,4,0,1,1,4,1,0,1
16.0,48,1,1,7,1,1,2,4,0,1
17.0,39,2,2,6,1,1,2,4,0,1
18.0,37,2,2,8,1,1,2,3,0,1
19.0,39,2,1,5,1,1,2,1,1,1
20.0,26,3,4,1,1,0,4,1,0,1
21.0,24,3,4,0,1,0,3,1,0,1
22.0,46,4,4,1,0,1,1,4,0,1
23.0,39,4,4,1,1,1,1,4,0,1
24.0,48,4,4,5,1,1,1,4,0,1
25.0,40,2,4,8,1,1,3,3,0,1
26.0,38,4,4,1,1,0,1,4,0,1
27.0,29,4,4,0,1,0,1,4,0,1
28.0,24,4,4,0,1,0,2,2,0,1
29.0,43,1,2,8,1,1,2,4,0,1
30.0,31,3,4,2,1,1,1,4,0,1
32.0,26,2,4,0,1,0,1,2,0,1
33.0,33,2,2,2,1,1,3,1,0,1
34.0,24,2,3,1,1,1,3,3,0,1
35.0,42,1,3,9,1,1,3,2,1,1
36.0,43,1,2,8,1,0,3,1,0,1
37.0,25,3,3,4,1,1,3,2,0,1
38.0,42,2,2,3,1,1,3,4,0,1
40.0,28,1,1,3,1,1,3,1,0,1
41.0,47,2,3,0,1,0,1,3,0,1
42.0,48,2,4,2,1,1,1,3,0,1
43.0,40,4,4,2,0,1,1,4,0,1
44.0,28,2,2,1,1,1,3,2,0,1
45.0,25,1,4,1,1,1,2,1,0,1
46.0,32,4,4,2,1,1,2,3,0,1
47.0,45,4,4,0,1,1,2,4,0,1
49.0,26,4,4,0,1,0,1,4,0,1
50.0,31,4,4,0,1,0,1,4,0,1
51.0,49,4,4,7,0,1,2,4,0,1
52.0,40,3,4,8,1,1,3,3,0,1
53.0,34,4,4,1,0,0,2,3,0,1
55.0,20,2,2,2,1,1,2,2,1,1
56.0,43,4,4,5,1,0,1,4,0,1
57.0,37,3,4,7,1,1,2,1,0,1
58.0,21,2,3,0,1,1,3,4,0,1
59.0,49,4,4,6,1,1,1,2,0,1
60.0,42,3,3,10,1,1,3,3,0,1
61.0,20,2,3,1,1,1,2,3,0,1
62.0,47,1,2,2,1,0,1,3,0,1
63.0,22,2,3,1,1,1,2,1,0,1
64.0,27,2,4,1,1,0,1,3,0,1
65.0,24,2,4,1,1,1,3,1,0,1
66.0,44,4,2,8,1,1,3,3,0,1
67.0,30,2,3,3,1,1,3,1,0,1
68.0,23,3,4,2,1,1,3,4,0,1
69.0,25,4,4,1,1,0,3,3,0,1
70.0,47,2,3,4,1,1,2,3,0,1
71.0,48,2,3,8,1,1,1,4,0,1
72.0,29,2,3,1,1,1,1,1,0,1
73.0,29,2,3,1,1,1,1,2,0,1
74.0,21,3,4,0,1,1,2,3,0,1
75.0,21,3,4,1,1,1,2,3,0,1
76.0,29,4,4,0,1,0,2,4,0,1
77.0,45,3,4,3,1,1,1,4,0,1
78.0,33,2,3,2,1,1,3,2,0,1
79.0,38,4,4,1,1,0,1,4,0,1
