% 1. Title: Balance Scale Weight & Distance Database
%
% 2. Source Information:
%    (a) Source: Generated to model psychological experiments reported
% 		by Siegler, R. S. (1976).  Three Aspects of Cognitive
% 		Development.  Cognitive Psychology, 8, 481-520.
%    (b) Donor: Tim Hume (hume@ics.uci.edu)
%    (c) Date: 22 April 1994
%
% 3. Past Usage: (possibly different formats of this data)
%   - Publications
% 	1. Klahr, D., & Siegler, R.S. (1978).  The Representation of
% 	   Children's Knowledge.  In H. W. Reese & L. P. Lipsitt (Eds.),
% 	   Advances in Child Development and Behavior, pp. 61-116.  New
% 	   York: Academic Press
% 	2. Langley,P. (1987).  A General Theory of Discrimination
% 	   Learning.  In D. Klahr, P. Langley, & R. Neches (Eds.),
% 	   Production System Models of Learning and Development, pp.
% 	   99-161. Cambridge, MA: MIT Press
% 	3. Newell, A. (1990).  Unified Theories of Cognition.
% 	   Cambridge, MA: Harvard University Press
% 	4. McClelland, J.L. (1988).  Parallel Distibuted Processing:
% 	   Implications for Cognition and Development.  Technical
% 	   Report AIP-47, Department of Psychology, Carnegie-Mellon
% 	   University
% 	5. Shultz, T., Mareschal, D., & Schmidt, W. (1994).  Modeling
% 	   Cognitive Development on Balance Scale Phenomena. Machine
% 	   Learning, Vol. 16, pp. 59-88.
%
% 4. Relevant Information:
% 	This data set was generated to model psychological
% 	experimental results.  Each example is classified as having the
% 	balance scale tip to the right, tip to the left, or be
% 	balanced.  The attributes are the left weight, the left
% 	distance, the right weight, and the right distance.  The
% 	correct way to find the class is the greater of
% 	(left-distance * left-weight) and (right-distance *
% 	right-weight).  If they are equal, it is balanced.
%
% 5. Number of Instances: 625 (49 balanced, 288 left, 288 right)
%
% 6. Number of Attributes: 4 (numeric) + class name = 5
%
% 7. Attribute Information:
% 	1. Class Name: 3 (L, B, R)
% 	2. Left-Weight: 5 (1, 2, 3, 4, 5)
% 	3. Left-Distance: 5 (1, 2, 3, 4, 5)
% 	4. Right-Weight: 5 (1, 2, 3, 4, 5)
% 	5. Right-Distance: 5 (1, 2, 3, 4, 5)
%
% 8. Missing Attribute Values:
% 	none
%
% 9. Class Distribution:
%   1. 46.08 percent are L
%   2. 07.84 percent are B
%   3. 46.08 percent are R
%
@RELATION balance-scale

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE left-weight REAL
@ATTRIBUTE left-distance REAL
@ATTRIBUTE right-weight REAL
@ATTRIBUTE right-distance REAL
@ATTRIBUTE class {L, B, R}

@DATA
0.0,1.0,1.0,1.0,1.0,B
1.0,1.0,1.0,1.0,2.0,R
2.0,1.0,1.0,1.0,3.0,R
4.0,1.0,1.0,1.0,5.0,R
6.0,1.0,1.0,2.0,2.0,R
7.0,1.0,1.0,2.0,3.0,R
9.0,1.0,1.0,2.0,5.0,R
10.0,1.0,1.0,3.0,1.0,R
11.0,1.0,1.0,3.0,2.0,R
12.0,1.0,1.0,3.0,3.0,R
13.0,1.0,1.0,3.0,4.0,R
14.0,1.0,1.0,3.0,5.0,R
15.0,1.0,1.0,4.0,1.0,R
18.0,1.0,1.0,4.0,4.0,R
20.0,1.0,1.0,5.0,1.0,R
21.0,1.0,1.0,5.0,2.0,R
22.0,1.0,1.0,5.0,3.0,R
23.0,1.0,1.0,5.0,4.0,R
24.0,1.0,1.0,5.0,5.0,R
27.0,1.0,2.0,1.0,3.0,R
28.0,1.0,2.0,1.0,4.0,R
29.0,1.0,2.0,1.0,5.0,R
30.0,1.0,2.0,2.0,1.0,B
31.0,1.0,2.0,2.0,2.0,R
32.0,1.0,2.0,2.0,3.0,R
33.0,1.0,2.0,2.0,4.0,R
34.0,1.0,2.0,2.0,5.0,R
35.0,1.0,2.0,3.0,1.0,R
38.0,1.0,2.0,3.0,4.0,R
39.0,1.0,2.0,3.0,5.0,R
40.0,1.0,2.0,4.0,1.0,R
41.0,1.0,2.0,4.0,2.0,R
42.0,1.0,2.0,4.0,3.0,R
43.0,1.0,2.0,4.0,4.0,R
44.0,1.0,2.0,4.0,5.0,R
46.0,1.0,2.0,5.0,2.0,R
47.0,1.0,2.0,5.0,3.0,R
49.0,1.0,2.0,5.0,5.0,R
51.0,1.0,3.0,1.0,2.0,L
52.0,1.0,3.0,1.0,3.0,B
53.0,1.0,3.0,1.0,4.0,R
54.0,1.0,3.0,1.0,5.0,R
55.0,1.0,3.0,2.0,1.0,L
56.0,1.0,3.0,2.0,2.0,R
58.0,1.0,3.0,2.0,4.0,R
60.0,1.0,3.0,3.0,1.0,B
61.0,1.0,3.0,3.0,2.0,R
62.0,1.0,3.0,3.0,3.0,R
63.0,1.0,3.0,3.0,4.0,R
64.0,1.0,3.0,3.0,5.0,R
65.0,1.0,3.0,4.0,1.0,R
66.0,1.0,3.0,4.0,2.0,R
68.0,1.0,3.0,4.0,4.0,R
69.0,1.0,3.0,4.0,5.0,R
70.0,1.0,3.0,5.0,1.0,R
71.0,1.0,3.0,5.0,2.0,R
72.0,1.0,3.0,5.0,3.0,R
73.0,1.0,3.0,5.0,4.0,R
75.0,1.0,4.0,1.0,1.0,L
76.0,1.0,4.0,1.0,2.0,L
77.0,1.0,4.0,1.0,3.0,L
78.0,1.0,4.0,1.0,4.0,B
79.0,1.0,4.0,1.0,5.0,R
80.0,1.0,4.0,2.0,1.0,L
81.0,1.0,4.0,2.0,2.0,B
82.0,1.0,4.0,2.0,3.0,R
83.0,1.0,4.0,2.0,4.0,R
84.0,1.0,4.0,2.0,5.0,R
85.0,1.0,4.0,3.0,1.0,L
86.0,1.0,4.0,3.0,2.0,R
87.0,1.0,4.0,3.0,3.0,R
88.0,1.0,4.0,3.0,4.0,R
89.0,1.0,4.0,3.0,5.0,R
90.0,1.0,4.0,4.0,1.0,B
91.0,1.0,4.0,4.0,2.0,R
92.0,1.0,4.0,4.0,3.0,R
93.0,1.0,4.0,4.0,4.0,R
95.0,1.0,4.0,5.0,1.0,R
96.0,1.0,4.0,5.0,2.0,R
97.0,1.0,4.0,5.0,3.0,R
98.0,1.0,4.0,5.0,4.0,R
99.0,1.0,4.0,5.0,5.0,R
100.0,1.0,5.0,1.0,1.0,L
101.0,1.0,5.0,1.0,2.0,L
102.0,1.0,5.0,1.0,3.0,L
104.0,1.0,5.0,1.0,5.0,B
105.0,1.0,5.0,2.0,1.0,L
106.0,1.0,5.0,2.0,2.0,L
107.0,1.0,5.0,2.0,3.0,R
108.0,1.0,5.0,2.0,4.0,R
109.0,1.0,5.0,2.0,5.0,R
110.0,1.0,5.0,3.0,1.0,L
112.0,1.0,5.0,3.0,3.0,R
114.0,1.0,5.0,3.0,5.0,R
115.0,1.0,5.0,4.0,1.0,L
116.0,1.0,5.0,4.0,2.0,R
117.0,1.0,5.0,4.0,3.0,R
118.0,1.0,5.0,4.0,4.0,R
120.0,1.0,5.0,5.0,1.0,B
121.0,1.0,5.0,5.0,2.0,R
122.0,1.0,5.0,5.0,3.0,R
123.0,1.0,5.0,5.0,4.0,R
125.0,2.0,1.0,1.0,1.0,L
127.0,2.0,1.0,1.0,3.0,R
128.0,2.0,1.0,1.0,4.0,R
129.0,2.0,1.0,1.0,5.0,R
130.0,2.0,1.0,2.0,1.0,B
131.0,2.0,1.0,2.0,2.0,R
132.0,2.0,1.0,2.0,3.0,R
133.0,2.0,1.0,2.0,4.0,R
134.0,2.0,1.0,2.0,5.0,R
135.0,2.0,1.0,3.0,1.0,R
136.0,2.0,1.0,3.0,2.0,R
137.0,2.0,1.0,3.0,3.0,R
138.0,2.0,1.0,3.0,4.0,R
140.0,2.0,1.0,4.0,1.0,R
142.0,2.0,1.0,4.0,3.0,R
143.0,2.0,1.0,4.0,4.0,R
144.0,2.0,1.0,4.0,5.0,R
145.0,2.0,1.0,5.0,1.0,R
146.0,2.0,1.0,5.0,2.0,R
147.0,2.0,1.0,5.0,3.0,R
148.0,2.0,1.0,5.0,4.0,R
151.0,2.0,2.0,1.0,2.0,L
155.0,2.0,2.0,2.0,1.0,L
156.0,2.0,2.0,2.0,2.0,B
158.0,2.0,2.0,2.0,4.0,R
159.0,2.0,2.0,2.0,5.0,R
160.0,2.0,2.0,3.0,1.0,L
161.0,2.0,2.0,3.0,2.0,R
163.0,2.0,2.0,3.0,4.0,R
164.0,2.0,2.0,3.0,5.0,R
