%
% 1. Title of Database: Optical Recognition of Handwritten Digits
%
% 2. Source:
% 	E. Alpaydin, C. Kaynak
% 	Department of Computer Engineering
% 	Bogazici University, 80815 Istanbul Turkey
% 	alpaydin@boun.edu.tr
% 	July 1998
%
% 3. Past Usage:
% 	C. Kaynak (1995) Methods of Combining Multiple Classifiers and Their
% 	Applications to Handwritten Digit Recognition,
% 	MSc Thesis, Institute of Graduate Studies in Science and
% 	Engineering, Bogazici University.
%
% 	E. Alpaydin, C. Kaynak (1998) Cascading Classifiers, Kybernetika,
% 	to appear. ftp://ftp.icsi.berkeley.edu/pub/ai/ethem/kyb.ps.Z
%
% 4. Relevant Information:
% 	We used preprocessing programs made available by NIST to extract
% 	normalized bitmaps of handwritten digits from a preprinted form. From
% 	a total of 43 people, 30 contributed to the training set and different
% 	13 to the test set. 32x32 bitmaps are divided into nonoverlapping
% 	blocks of 4x4 and the number of on pixels are counted in each block.
% 	This generates an input matrix of 8x8 where each element is an
% 	integer in the range 0..16. This reduces dimensionality and gives
% 	invariance to small distortions.
%
% 	For info on NIST preprocessing routines, see
% 	M. D. Garris, J. L. Blue, G. T. Candela, D. L. Dimmick, J. Geist,
% 	P. J. Grother, S. A. Janet, and C. L. Wilson, NIST Form-Based
% 	Handprint Recognition System, NISTIR 5469, 1994.
%
% 5. Number of Instances
% 	optdigits.tra	Training	3823
% 	optdigits.tes	Testing		1797
% 	
% 	The way we used the dataset was to use half of training for
% 	actual training, one-fourth for validation and one-fourth
% 	for writer-dependent testing. The test set was used for
% 	writer-independent testing and is the actual quality measure.
%
% 6. Number of Attributes
% 	64 input+1 class attribute
%
% 7. For Each Attribute:
% 	All input attributes are integers in the range 0..16.
% 	The last attribute is the class code 0..9
%
% 8. Missing Attribute Values
% 	None
%
% 9. Class Distribution
% 	Class:	No of examples in training set
% 	0:  376
% 	1:  389
% 	2:  380
% 	3:  389
% 	4:  387
% 	5:  376
% 	6:  377
% 	7:  387
% 	8:  380
% 	9:  382
%
% 	Class: No of examples in testing set
% 	0:  178
% 	1:  182
% 	2:  177
% 	3:  183
% 	4:  181
% 	5:  182
% 	6:  181
% 	7:  179
% 	8:  174
% 	9:  180
%
% Accuracy on the testing set with k-nn
% using Euclidean distance as the metric
%
%  k =  1   : 98.00
%  k =  2   : 97.38
%  k =  3   : 97.83
%  k =  4   : 97.61
%  k =  5   : 97.89
%  k =  6   : 97.77
%  k =  7   : 97.66
%  k =  8   : 97.66
%  k =  9   : 97.72
%  k = 10   : 97.55
%  k = 11   : 97.89
@RELATION optdigits

@ATTRIBUTE input1 NUMERIC
@ATTRIBUTE input2 NUMERIC
@ATTRIBUTE input3 NUMERIC
@ATTRIBUTE input4 NUMERIC
@ATTRIBUTE input5 NUMERIC
@ATTRIBUTE input6 NUMERIC
@ATTRIBUTE input7 NUMERIC
@ATTRIBUTE input8 NUMERIC
@ATTRIBUTE input9 NUMERIC
@ATTRIBUTE input10 NUMERIC
@ATTRIBUTE input11 NUMERIC
@ATTRIBUTE input12 NUMERIC
@ATTRIBUTE input13 NUMERIC
@ATTRIBUTE input14 NUMERIC
@ATTRIBUTE input15 NUMERIC
@ATTRIBUTE input16 NUMERIC
@ATTRIBUTE input17 NUMERIC
@ATTRIBUTE input18 NUMERIC
@ATTRIBUTE input19 NUMERIC
@ATTRIBUTE input20 NUMERIC
@ATTRIBUTE input21 NUMERIC
@ATTRIBUTE input22 NUMERIC
@ATTRIBUTE input23 NUMERIC
@ATTRIBUTE input24 NUMERIC
@ATTRIBUTE input25 NUMERIC
@ATTRIBUTE input26 NUMERIC
@ATTRIBUTE input27 NUMERIC
@ATTRIBUTE input28 NUMERIC
@ATTRIBUTE input29 NUMERIC
@ATTRIBUTE input30 NUMERIC
@ATTRIBUTE input31 NUMERIC
@ATTRIBUTE input32 NUMERIC
@ATTRIBUTE input33 NUMERIC
@ATTRIBUTE input34 NUMERIC
@ATTRIBUTE input35 NUMERIC
@ATTRIBUTE input36 NUMERIC
@ATTRIBUTE input37 NUMERIC
@ATTRIBUTE input38 NUMERIC
@ATTRIBUTE input39 NUMERIC
@ATTRIBUTE input40 NUMERIC
@ATTRIBUTE input41 NUMERIC
@ATTRIBUTE input42 NUMERIC
@ATTRIBUTE input43 NUMERIC
@ATTRIBUTE input44 NUMERIC
@ATTRIBUTE input45 NUMERIC
@ATTRIBUTE input46 NUMERIC
@ATTRIBUTE input47 NUMERIC
@ATTRIBUTE input48 NUMERIC
@ATTRIBUTE input49 NUMERIC
@ATTRIBUTE input50 NUMERIC
@ATTRIBUTE input51 NUMERIC
@ATTRIBUTE input52 NUMERIC
@ATTRIBUTE input53 NUMERIC
@ATTRIBUTE input54 NUMERIC
@ATTRIBUTE input55 NUMERIC
@ATTRIBUTE input56 NUMERIC
@ATTRIBUTE input57 NUMERIC
@ATTRIBUTE input58 NUMERIC
@ATTRIBUTE input59 NUMERIC
@ATTRIBUTE input60 NUMERIC
@ATTRIBUTE input61 NUMERIC
@ATTRIBUTE input62 NUMERIC
@ATTRIBUTE input63 NUMERIC
@ATTRIBUTE input64 NUMERIC
@ATTRIBUTE class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}

@DATA
0.0,1.0,6.0,15.0,12.0,1.0,0.0,0.0,0.0,7.0,16.0,6.0,6.0,10.0,0.0,0.0,0.0,8.0,16.0,2.0,0.0,11.0,2.0,0.0,0.0,5.0,16.0,3.0,0.0,5.0,7.0,0.0,0.0,7.0,13.0,3.0,0.0,8.0,7.0,0.0,0.0,4.0,12.0,0.0,1.0,13.0,5.0,0.0,0.0,0.0,14.0,9.0,15.0,9.0,0.0,0.0,0.0,0.0,6.0,14.0,7.0,1.0,0.0,0.0,0
0.0,0.0,10.0,16.0,6.0,0.0,0.0,0.0,0.0,7.0,16.0,8.0,16.0,5.0,0.0,0.0,0.0,11.0,16.0,0.0,6.0,14.0,3.0,0.0,0.0,12.0,12.0,0.0,0.0,11.0,11.0,0.0,0.0,12.0,12.0,0.0,0.0,8.0,12.0,0.0,0.0,7.0,15.0,1.0,0.0,13.0,11.0,0.0,0.0,0.0,16.0,8.0,10.0,15.0,3.0,0.0,0.0,0.0,10.0,16.0,15.0,3.0,0.0,0.0,0
0.0,0.0,8.0,15.0,16.0,13.0,0.0,0.0,0.0,1.0,11.0,9.0,11.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,0.0,0.0,0.0,3.0,4.0,14.0,12.0,2.0,0.0,0.0,1.0,16.0,16.0,16.0,16.0,10.0,0.0,0.0,2.0,12.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,0.0,0.0,0.0,0.0,7
0.0,0.0,0.0,3.0,11.0,16.0,0.0,0.0,0.0,0.0,5.0,16.0,11.0,13.0,7.0,0.0,0.0,3.0,15.0,8.0,1.0,15.0,6.0,0.0,0.0,11.0,16.0,16.0,16.0,16.0,10.0,0.0,0.0,1.0,4.0,4.0,13.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,2.0,0.0,0.0,4
0.0,0.0,5.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,14.0,9.0,2.0,0.0,0.0,0.0,4.0,16.0,3.0,4.0,11.0,2.0,0.0,0.0,0.0,14.0,3.0,0.0,4.0,11.0,0.0,0.0,0.0,10.0,8.0,4.0,11.0,12.0,0.0,0.0,0.0,4.0,12.0,14.0,7.0,0.0,0.0,6
0.0,0.0,11.0,16.0,10.0,1.0,0.0,0.0,0.0,4.0,16.0,10.0,15.0,8.0,0.0,0.0,0.0,4.0,16.0,3.0,11.0,13.0,0.0,0.0,0.0,1.0,14.0,6.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,6.0,0.0,0.0,0.0,0.0,5.0,15.0,15.0,8.0,8.0,3.0,0.0,0.0,10.0,16.0,16.0,16.0,16.0,6.0,2
0.0,0.0,1.0,11.0,13.0,11.0,7.0,0.0,0.0,0.0,9.0,14.0,6.0,4.0,3.0,0.0,0.0,0.0,16.0,12.0,16.0,15.0,2.0,0.0,0.0,5.0,16.0,10.0,4.0,12.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0,5.0,0.0,0.0,0.0,5
0.0,0.0,8.0,10.0,8.0,7.0,2.0,0.0,0.0,1.0,15.0,14.0,12.0,12.0,4.0,0.0,0.0,7.0,15.0,12.0,5.0,0.0,0.0,0.0,0.0,5.0,14.0,12.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,6.0,7.0,14.0,5.0,0.0,0.0,0.0,0.0,4.0,13.0,8.0,0.0,0.0,0.0,5
0.0,0.0,15.0,2.0,14.0,13.0,2.0,0.0,0.0,0.0,16.0,15.0,12.0,13.0,8.0,0.0,0.0,2.0,16.0,12.0,1.0,6.0,10.0,0.0,0.0,7.0,15.0,3.0,0.0,5.0,8.0,0.0,0.0,5.0,12.0,0.0,0.0,8.0,8.0,0.0,0.0,5.0,12.0,0.0,7.0,15.0,5.0,0.0,0.0,5.0,16.0,13.0,16.0,6.0,0.0,0.0,0.0,0.0,10.0,12.0,5.0,0.0,0.0,0.0,0
0.0,0.0,3.0,13.0,13.0,2.0,0.0,0.0,0.0,6.0,16.0,12.0,10.0,8.0,0.0,0.0,0.0,9.0,15.0,12.0,16.0,6.0,0.0,0.0,0.0,10.0,16.0,16.0,13.0,0.0,0.0,0.0,0.0,1.0,12.0,16.0,12.0,14.0,4.0,0.0,0.0,0.0,11.0,8.0,0.0,3.0,12.0,0.0,0.0,0.0,13.0,11.0,8.0,13.0,12.0,0.0,0.0,0.0,3.0,15.0,11.0,6.0,0.0,0.0,8
