@RELATION teachingAssistant

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE EnglishSepaker {1, 2}
@ATTRIBUTE courseInstructor {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25}
@ATTRIBUTE course {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26}
@ATTRIBUTE summer {1, 2}
@ATTRIBUTE classSize NUMERIC
@ATTRIBUTE class {1, 2, 3}

@DATA
1.0,1,23,3,1,19.0,3
2.0,2,15,3,1,17.0,3
3.0,1,23,3,2,49.0,3
4.0,1,5,2,2,33.0,3
5.0,2,7,11,2,55.0,3
6.0,2,23,3,1,20.0,3
7.0,2,9,5,2,19.0,3
8.0,2,10,3,2,27.0,3
9.0,1,22,3,1,58.0,3
10.0,2,15,3,1,20.0,3
11.0,2,10,22,2,9.0,3
12.0,2,13,1,2,30.0,3
13.0,2,18,21,2,29.0,3
14.0,2,6,17,2,39.0,3
15.0,2,6,17,2,42.0,2
16.0,2,6,17,2,43.0,2
17.0,2,7,11,2,10.0,2
18.0,2,22,3,2,46.0,2
19.0,2,13,3,1,10.0,2
20.0,2,7,25,2,42.0,2
21.0,2,25,7,2,27.0,2
22.0,2,25,7,2,23.0,2
23.0,2,2,9,2,31.0,2
24.0,2,1,15,1,22.0,2
25.0,2,15,13,2,37.0,2
26.0,2,7,11,2,13.0,2
27.0,2,8,3,2,24.0,2
28.0,2,14,15,2,38.0,2
29.0,2,21,2,2,42.0,1
30.0,2,22,3,2,28.0,1
31.0,2,11,1,2,51.0,1
32.0,2,18,5,2,19.0,1
33.0,2,13,1,2,31.0,1
34.0,1,13,3,1,13.0,1
35.0,2,5,2,2,37.0,1
36.0,2,16,8,2,36.0,1
37.0,2,4,16,2,21.0,1
38.0,2,5,2,2,48.0,1
39.0,2,14,15,2,38.0,1
40.0,1,23,3,1,19.0,3
41.0,2,15,3,1,17.0,3
42.0,1,23,3,2,49.0,3
43.0,1,5,2,2,33.0,3
44.0,2,7,11,2,55.0,3
45.0,2,23,3,1,20.0,3
46.0,2,9,5,2,19.0,3
47.0,2,10,3,2,27.0,3
