% This dataset is taken from the Penn Machine Learning Benchmark.
% This ARFF is automatically generated.
% The data types of attributes are inferred from the data.
% In particular this means there is some uncertainty as to whether an attribute truly is categorical, numerical or ordinal.
@RELATION car-evaluation

@ATTRIBUTE class {0, 1, 2, 3}
@ATTRIBUTE buying_price_vhigh {0, 1}
@ATTRIBUTE buying_price_high {0, 1}
@ATTRIBUTE buying_price_med {0, 1}
@ATTRIBUTE buying_price_low {0, 1}
@ATTRIBUTE maintenance_price_vhigh {0, 1}
@ATTRIBUTE maintenance_price_high {0, 1}
@ATTRIBUTE maintenance_price_med {0, 1}
@ATTRIBUTE maintenance_price_low {0, 1}
@ATTRIBUTE doors_2 {0, 1}
@ATTRIBUTE doors_3 {0, 1}
@ATTRIBUTE doors_4 {0, 1}
@ATTRIBUTE doors_5more {0, 1}
@ATTRIBUTE persons_2 {0, 1}
@ATTRIBUTE persons_4 {0, 1}
@ATTRIBUTE persons_more {0, 1}
@ATTRIBUTE luggage_boot_size_small {0, 1}
@ATTRIBUTE luggage_boot_size_med {0, 1}
@ATTRIBUTE luggage_boot_size_big {0, 1}
@ATTRIBUTE safety_low {0, 1}
@ATTRIBUTE safety_med {0, 1}
@ATTRIBUTE safety_high {0, 1}

@DATA
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
