@RELATION titanic

@ATTRIBUTE pclass NUMERIC
@ATTRIBUTE sex {female, male}
@ATTRIBUTE age NUMERIC
@ATTRIBUTE sibsp NUMERIC
@ATTRIBUTE parch NUMERIC
@ATTRIBUTE ticket STRING
@ATTRIBUTE fare NUMERIC
@ATTRIBUTE cabin STRING
@ATTRIBUTE embarked {C, Q, S}
@ATTRIBUTE boat STRING
@ATTRIBUTE body NUMERIC
@ATTRIBUTE home.dest STRING
@ATTRIBUTE survived {0, 1}

@DATA
1.0,female,29.0,0.0,0.0,'24160',211.3375,B5,S,2,?,'St Louis MO',1
1.0,male,0.9167,1.0,2.0,'113781',151.55,'C22 C26',S,11,?,'Montreal PQ / Chesterville',1
1.0,female,2.0,1.0,2.0,'113781',151.55,'C22 C26',S,?,?,'Montreal PQ / Chesterville',0
1.0,male,30.0,1.0,2.0,'113781',151.55,'C22 C26',S,?,135.0,'Montreal PQ / Chesterville',0
1.0,female,25.0,1.0,2.0,'113781',151.55,'C22 C26',S,?,?,'Montreal PQ / Chesterville',0
1.0,male,48.0,0.0,0.0,'19952',26.55,E12,S,3,?,'New York NY',1
1.0,female,63.0,1.0,0.0,'13502',77.9583,D7,S,10,?,'Hudson NY',1
1.0,male,39.0,0.0,0.0,'112050',0.0,A36,S,?,?,'Belfast NI',0
1.0,female,53.0,2.0,0.0,'11769',51.4792,C101,S,D,?,'Bayside Queens',1
1.0,male,71.0,0.0,0.0,'PC 17609',49.5042,?,C,?,22.0,'Montevideo Uruguay',0
1.0,male,47.0,1.0,0.0,'PC 17757',227.525,'C62 C64',C,?,124.0,'New York NY',0
1.0,female,18.0,1.0,0.0,'PC 17757',227.525,'C62 C64',C,4,?,'New York NY',1
1.0,female,24.0,0.0,0.0,'PC 17477',69.3,B35,C,9,?,'Paris France',1
1.0,female,26.0,0.0,0.0,'19877',78.85,?,S,6,?,?,1
1.0,male,80.0,0.0,0.0,'27042',30.0,A23,S,B,?,'Hessle Yorks',1
